,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse
616,"55.67191,12.522408",144.0,2,Restaurant Folk, 2000 ,False,False,False,False,False,False,False,False,False
617,"55.67743,12.554381",138.0,2,Ipanema Café, 1900 ,False,False,False,False,False,False,False,False,False
618,"55.686443,12.534203",137.0,99,Emmerys, 2000 ,False,False,False,False,False,False,False,False,False
619,"55.68438,12.5252",131.0,2,Wokbaren Spicylicious, 2000 ,False,False,False,False,False,False,False,False,False
620,"55.68391,12.5046",127.0,2,La Liberta, 2000 ,False,False,False,False,True,True,False,False,False
621,"55.69667,12.53558",125.0,2,THAIAWAY, 2000 ,False,False,False,True,False,False,False,False,False
622,"55.68153,12.51771",124.0,99,Thai Gourmet Takeaway, 2000 ,False,False,False,True,False,False,False,False,False
623,"55.68483,12.501046",119.0,2,Teppan House ApS, 2000 ,False,True,False,False,False,False,False,False,False
624,"55.68147,12.51858",118.0,99,A San Sushi, 2000 ,False,False,False,False,False,False,False,False,False
625,"55.67874,12.53181",116.0,99,Burgerklubben, 2000 ,False,False,False,False,False,False,False,False,False
626,"55.68696,12.531045",112.0,2,LETZ SUSHI FREDERIKSBERG, 2000 ,False,True,False,False,False,False,False,False,False
627,"55.682194,12.535067",111.0,99,Café La Tètè, 2000 ,False,False,False,False,False,False,False,False,False
628,"55.673153,12.547954",109.0,2,Café Tænk, 1820 ,False,False,False,False,True,False,False,False,False
629,"55.678013,12.534313",104.0,2,MyPoké, 1850 ,False,False,False,False,False,False,False,False,False
630,"55.682266,12.551514",103.0,2,Overfor, 1970 ,False,False,False,False,True,False,False,False,False
631,"55.6282,12.649786",100.0,2,Joe & the Juice, 2770 ,False,False,False,False,True,False,False,False,False
632,"55.679745,12.549188",94.0,2,Domo Restaurant, 1910 ,False,False,False,False,False,False,False,False,False
633,"55.67646,12.54189",89.0,2,Wokshop Cantina Frederiksberg, 1850 ,False,False,False,True,False,False,False,False,False
634,"55.684456,12.55188",87.0,2,Nyu Sakura, 1879 ,False,True,False,False,False,False,False,False,False
635,"55.681435,12.533531",85.0,2,Holm's Café, 2000 ,False,False,False,False,True,False,False,False,False
636,"55.67898,12.529446",77.0,2,Cortigiano, 2000 ,False,False,False,False,False,True,False,False,False
637,"55.68565,12.53769",72.0,2,VIET - NAM NAM, 2000 ,False,False,False,False,False,False,False,False,False
638,"55.68652,12.53386",71.0,1,Bronx, 2000 ,False,False,False,False,False,False,False,False,False
639,"55.67531,12.54576",70.0,2,Meyer's deli, ,False,False,False,False,True,False,False,False,False
640,"55.67361,12.542906",66.0,2,Karmaman, 1820 ,False,False,False,False,False,False,False,False,False
641,"55.674026,12.539909",64.0,2,Promenaden 1932, 1820 ,False,False,False,False,True,False,False,False,False
642,"55.681683,12.534314",58.0,2,Cafe Moccador, 2000 ,False,False,False,False,False,False,False,False,False
643,"55.68033,12.548482",46.0,2,Chai Wong, 1871 ,False,False,False,True,False,False,False,False,False
644,"55.681393,12.532732",45.0,2,Wagamama, 2000 ,False,False,False,False,False,False,False,False,False
645,"55.68475,12.55308",40.0,1,Chun bo, 1960 ,False,True,False,False,False,False,False,False,False
646,"55.68064,12.533986",36.0,2,La Vecchia Gastronomia Italiana, 2000 ,True,False,False,False,False,True,False,False,False
647,"55.675964,12.533925",33.0,2,Allegade 10, 2000 ,False,False,False,False,False,False,False,False,False
648,"55.67907,12.569",2007.0,1,Atletica, 1453 ,False,False,False,False,False,True,False,False,False
649,"55.6799,12.57469",1941.0,2,Nena's, ,False,False,False,False,False,False,False,False,False
650,"55.67125,12.54384",1934.0,99,Lounge V120, ,False,False,False,False,False,False,False,False,False
651,"55.65553,12.6166",1926.0,99,Malta Cafeteria Og Selskabslokaler, 2300 ,False,False,False,False,False,False,False,False,False
652,"55.67502,12.580593",1925.0,99,Olsen, ,False,False,False,False,False,False,False,False,False
653,"55.71342,12.53462",1923.0,99,Sushi Time, 2400 ,False,True,False,False,False,False,False,False,False
654,"55.66593,12.55044",1922.0,99,Kaffebaren Soender Boulevard 68, 1720 ,False,False,False,False,True,False,False,False,False
655,"55.67502,12.580593",1916.0,99,Rosenborggade, ,False,False,False,False,False,False,False,False,False
656,"55.66273,12.56147",1912.0,99,The Green Corner, 1561 ,False,False,False,False,False,False,False,False,False
657,"55.463253,11.721498",1907.0,99,Det go'e Smørrebrød, ,False,False,False,False,False,False,False,False,False
658,"55.66158,12.59758",1902.0,99,Julios Pizze Cucina (Marios Express Pizza), 2300 ,False,False,False,False,False,False,False,False,False
659,"55.71492,12.57003",1896.0,99,Bellmans café, 2100 ,False,False,False,False,False,False,False,False,False
660,"55.67867,12.59242",1896.0,99,Styrmanden Cafe-Restaurant, 1058 ,False,False,False,False,False,False,False,False,False
661,"55.67665,12.57107",1889.0,99,Café La Grotte, 1460 ,False,False,False,False,False,False,False,False,False
662,"55.652157,12.549234",1886.0,99,Teglholmens-Cafe, 2450 ,False,False,False,False,False,False,False,False,False
663,"55.64627,12.52453",1885.0,99,Cafe Betty Aps, 2450 ,False,False,False,False,False,False,False,False,False
664,"55.67321,12.565866",1879.0,1,Kebab Street kitchen, ,False,False,False,False,False,False,False,False,False
665,"55.690544,12.53951",1878.0,99,Orientalsk Steak House, ,True,False,False,False,False,False,False,False,False
666,"55.64847,12.532691",1875.0,99,Mozarts grill, 2450 ,False,False,False,True,False,False,False,False,False
667,"55.66773,12.38777",1873.0,99,Hunkar Restaurant, 2600 ,False,False,False,False,False,False,False,False,False
668,"55.71011,12.568014",1872.0,99,Riccos Kaffebar, 2100 ,False,False,False,False,False,False,False,False,False
669,"55.68493,12.48511",1872.0,99,Antico Forno a Legna, 2720 ,False,False,False,False,False,False,False,False,False
670,"55.65669,12.35363",1868.0,99,Güllüoglu, 2620 ,False,False,False,False,False,False,False,False,False
671,"55.68863,12.57305",1865.0,99,Stuen 11, ,False,False,False,False,False,False,False,False,False
672,"55.67641,12.56369",1863.0,99,Cafe Palads, 1609 ,False,False,False,False,False,False,False,False,False
673,"55.676266,12.574866",1862.0,1,Radhusstræde BAGEL & SALATBAR, 1466 ,False,False,False,False,False,False,False,False,False
674,"55.69597,12.56665",1861.0,99,Cafe Arcade, 2100 ,False,False,False,False,False,False,False,False,False
675,"55.687553,12.590404",1860.0,99,Cafe Paris, ,False,False,False,False,True,False,False,False,False
676,"55.67085,12.5591",1855.0,99,Il Borgo, 1650 ,False,False,False,False,False,False,False,False,False
677,"55.6819,12.58548",1855.0,99,Isklubben CPH, 1264 ,False,False,False,False,False,False,False,False,False
678,"55.66815,12.5788",1853.0,99,Bryggen11, 2300 ,False,False,False,False,False,False,False,False,False
679,"55.68431,12.5695",1852.0,1,Kopan Street, 1362 ,False,False,False,False,False,False,False,False,False
680,"55.69469,12.548771",1851.0,2,Greta's, 2200 ,False,False,False,False,False,False,False,False,False
681,"55.68231,12.57368",1850.0,99,Ristorante & Pizzeria Il Rustico, 1175 ,False,False,False,False,False,True,False,False,False
682,"55.664894,12.580055",1816.0,99,Cafe T, 2300 ,False,False,False,False,False,False,False,False,False
683,"55.66686,12.54666",1798.0,2,Darling, ,False,False,False,False,False,False,False,False,False
684,"55.69596,12.54473",1789.0,2,VinBaren i Stefansgade, 2200 ,False,False,False,False,False,False,False,False,False
685,"55.71003,12.57247",1780.0,99,Ehlers Bageri, 2100 ,False,False,False,False,False,False,False,False,False
686,"55.703697,12.528029",1776.0,99,Fovl, ,False,False,False,False,True,False,False,False,False
687,"55.67926,12.58069",1774.0,99,Rossopomodoro, 1001 ,False,False,False,False,False,False,False,False,False
688,"55.68133,12.56955",1764.0,99,Cafe Midtown Bar, 1358 ,False,False,False,False,True,False,False,False,False
689,"55.679287,12.583119",1762.0,99,Joe & The Juice, 1051 ,False,False,False,False,False,False,False,False,False
690,"55.68735,12.54694",1759.0,2,Passion Pizza, 2200 ,False,False,False,False,False,True,False,False,False
691,"55.69967,12.57512",1756.0,99,Kantina, 2100 ,False,False,False,False,False,False,False,False,False
692,"55.67804,12.59248",1754.0,99,Havnegade Fiskehandel, 1058 ,False,False,False,False,False,False,False,False,False
693,"55.66123,12.6214",1749.0,2,Hugo's Pizzaria, 2300 ,True,False,False,False,False,False,False,False,False
694,"55.702297,12.571556",1742.0,99,Enigma Kantina, 2100 ,False,False,False,False,False,False,False,False,False
695,"55.671658,12.591551",1736.0,99,Curry Club, 1420 ,False,False,False,False,False,False,True,False,False
696,"55.69702,12.52595",1721.0,99,Vietnam House, ,False,False,False,False,False,False,False,False,False
697,"55.67407,12.56418",1702.0,99,7-Eleven, ,False,False,False,False,False,False,False,False,False
698,"55.67112,12.55994",1690.0,99,Kababji Grill, 1650 ,False,False,False,False,False,False,False,False,False
699,"55.67502,12.580593",1685.0,99,Nordisk Brodhus, 2200 ,False,False,False,False,False,False,False,False,False
700,"55.68549,12.56644",1681.0,99,Galaxe Pizza Bar, 1360 ,False,False,False,False,False,False,False,False,False
701,"55.6795,12.59776",1678.0,99,Fala Fala, 1436 ,False,False,False,False,False,False,False,False,False
702,"55.68231,12.57368",1675.0,99,YOmmi Frozen Yogurt, 1175 ,False,False,False,False,False,False,False,False,False
703,"55.684048,12.569465",1674.0,99,Brazaria, ,False,False,False,False,False,False,False,False,False
704,"55.68765,12.55946",1667.0,2,Harbo Bar, 2200 ,False,False,False,False,False,False,False,False,False
705,"55.68058,12.57314",1665.0,2,Den Franske Bogcafe, 1171 ,False,False,False,False,False,False,False,False,False
706,"55.66688,12.54984",1660.0,2,Ristorante La Porchetta, 1721 ,False,False,False,False,False,True,False,False,False
707,"55.68638,12.55029",1658.0,99,Efess Pizza Bar, 2200 ,False,False,False,False,False,False,False,False,False
708,"55.6737,12.592145",1657.0,99,Cafe Stærkodder, 1414 ,False,False,False,False,False,False,False,False,False
709,"55.66679,12.54878",1652.0,99,La Mensa Di Benito, 1721 ,False,False,False,False,False,False,False,False,False
710,"55.68195,12.55696",1650.0,1,Baker's Juice Cafe, 1634 ,False,False,False,False,False,False,False,False,False
711,"55.73674,12.50988",1642.0,99,Italiensk Gastronomi Da Giovanni, 2860 ,False,False,False,False,False,False,False,False,False
712,"55.65913,12.51442",1639.0,99,Cuisine Et Florie, 2500 ,False,False,False,False,True,False,False,False,False
713,"55.704876,12.577828",1637.0,99,Tap10, 2100 ,False,False,False,False,False,False,False,False,False
714,"55.684,12.56756",1636.0,99,Cafe Amokka, 1363 ,False,False,False,False,True,False,False,False,False
715,"55.681175,12.591984",1630.0,2,Form Bar, 1250 ,False,False,False,False,False,False,False,False,False
716,"55.67842,12.582419",1624.0,2,Vingaarden - Enoteca E Pizzeria, 1070 ,False,False,False,False,False,True,False,False,False
717,"55.65732,12.6084",1622.0,99,Eclipse, ,False,False,False,False,False,False,False,False,False
718,"55.66285,12.60383",1613.0,99,Tasty Fresh Food, 2300 ,True,False,False,False,False,False,False,False,False
719,"55.68118,12.59197",1602.0,99,Tempo, 1250 ,False,False,False,False,False,False,False,False,False
720,"55.67502,12.580593",1599.0,99,Gastronetten, 2200 ,False,False,False,False,False,False,False,False,False
721,"55.68605,12.55794",1590.0,99,Sorte Firkant, ,False,False,False,False,False,False,False,False,False
722,"55.646015,12.601961",1589.0,99,Resturant Baglokalet, 2300 ,False,False,False,False,False,False,True,False,False
723,"55.681892,12.563361",1588.0,3,Nr. 30, 1366 ,False,False,True,False,False,False,False,False,False
724,"55.68364,12.56989",1586.0,99,Sweet Valentine, 1361 ,False,False,False,False,False,False,False,False,False
725,"55.68938,12.55632",1585.0,2,Mahalle, 2200 ,False,False,False,False,False,False,False,False,False
726,"55.685738,12.498756",1568.0,2,Sushi Station, 2720 ,False,True,False,False,False,False,False,False,False
727,"55.68125,12.47333",1567.0,99,Damhuskanten, ,False,False,False,False,False,False,False,False,False
728,"55.70204,12.53387",1559.0,99,Favorit Baklavici, 2400 ,False,False,False,False,False,False,False,False,False
729,"55.711246,12.564261",1558.0,99,Østergro, 2100 ,False,False,False,False,False,False,False,False,False
730,"55.687473,12.573616",1556.0,1,Botanisk Haves Café, 1353 ,False,False,False,False,False,True,False,False,False
731,"55.696213,12.5435",1555.0,2,Green Buddha, 2200 ,False,False,False,True,False,False,False,False,False
732,"55.64839,12.554072",1552.0,99,Mille's Minis, 2450 ,False,False,False,False,False,False,False,False,False
733,"55.67143,12.55839",1542.0,99,Phailin Thai Kitchen, 1955 ,False,False,False,True,False,False,False,False,False
734,"55.70894,12.52641",1539.0,99,Zorro Pizza, 2400 ,False,False,False,False,False,True,False,True,False
735,"55.68838,12.55898",1537.0,1,La Centrale, 2200 ,False,False,False,False,False,False,False,False,False
736,"55.66943,12.53976",1536.0,1,Rohan Indian Restaurant, 1750 ,False,False,False,False,False,False,True,False,False
737,"55.67465,12.56565",1527.0,1,Cafe Georg, 1620 ,False,False,False,False,False,False,False,False,False
738,"55.69077,12.55974",1523.0,2,Quatru Fontane, 2200 ,False,False,False,False,False,False,False,False,False
739,"55.679405,12.583815",1522.0,99,Joe & The Juice, 1069 ,False,False,False,False,False,False,False,False,False
740,"55.66753,12.54624",1520.0,99,Restaurant TOLV, 1670 ,False,False,False,False,False,False,False,False,False
741,"55.656834,12.590699",1500.0,99,Cafe Cheftali, 2300 ,False,False,False,False,True,False,False,False,False
742,"55.71647,12.53189",1495.0,99,Cafe Bjerget, 2400 ,False,False,False,False,False,False,False,False,False
743,"55.66644,12.61258",1492.0,99,Nordisk Brod, 2300 ,False,False,False,False,False,False,False,False,False
744,"55.70205,12.53242",1491.0,1,Samosa House, 2400 ,False,False,False,False,False,False,False,False,False
745,"55.68099,12.579833",1489.0,2,Sjus Bar, ,False,False,False,False,False,False,False,False,False
746,"55.69983,12.57826",1470.0,1,Reinh. van Hauen Nordre Frihavnsgade, 2100 ,False,False,False,False,False,False,False,False,False
747,"55.68513,12.59439",1463.0,99,PancakeQueen, 1256 ,False,False,False,False,False,False,False,False,False
748,"55.673164,12.596792",1457.0,99,Cafe Månefiskeren, 1407 ,False,False,False,False,False,False,False,False,False
749,"55.67861,12.57252",1455.0,99,Sandwich Pigen, 1159 ,False,False,False,False,False,False,False,False,False
750,"55.7031,12.58568",1454.0,1,KaffeLaden, 2100 ,False,False,False,False,False,False,False,False,False
751,"55.675476,12.566014",1451.0,99,Joe & the Juice, 1620 ,False,False,False,False,False,False,False,False,False
752,"55.70832,12.57774",1448.0,99,Kaffestuen, 2100 ,False,False,False,False,False,False,False,False,False
753,"55.66654,12.53959",1447.0,1,Dilis, 1760 ,False,False,False,False,False,False,False,False,False
754,"55.68213,12.57399",1442.0,99,Hos Slagteren, ,False,False,False,False,False,False,False,False,False
755,"55.68304,12.55016",1440.0,2,Sikhiu Thai Restaurant, 1879 ,False,False,False,False,False,False,False,False,False
756,"55.66524,12.58127",1431.0,99,Da Misto, 2300 ,False,False,False,False,False,True,False,False,False
757,"55.67465,12.56565",1424.0,99,Joe & the Juice, 1630 ,False,False,False,False,False,False,False,False,False
758,"55.7031,12.53735",1413.0,2,Lygtens Kro, 2400 ,False,False,False,False,False,False,False,False,False
759,"55.673866,12.568508",1403.0,99,restaurant Promenaden, ,False,False,False,False,False,False,False,False,False
760,"55.69183,12.54576",1396.0,99,Nittiya's Thai Takeaway, ,False,False,False,False,False,False,False,False,False
761,"55.65654,12.60904",1391.0,2,Thai House Take Away, 2300 ,False,False,False,True,False,False,False,False,False
762,"55.69306,12.610051",1386.0,99,The Real Greek Reffen, 1432 ,False,False,False,False,False,False,False,False,False
763,"55.67119,12.59334",1383.0,1,Havnens BBQ, 1400 ,False,False,False,False,False,False,False,False,False
764,"55.67014,12.53825",1380.0,99,Frede & Vester's, ,False,False,False,False,False,False,False,False,False
765,"55.66378,12.60081",1377.0,99,The Burger Amager, 2300 ,False,False,False,False,False,False,False,False,False
766,"55.696407,12.551469",1375.0,2,Veji, 2200 ,False,False,False,False,True,False,False,False,False
767,"55.6937,12.5501",1369.0,99,Jagger, 2200 ,False,False,False,False,False,False,False,False,False
768,"55.67306,12.589933",1367.0,1,Kafferiet Christianshavn, 1408 ,False,False,False,False,False,False,False,False,False
769,"55.682285,12.58021",1366.0,2,Sakura, ,False,False,False,False,False,False,False,False,False
770,"55.63771,12.54258",1364.0,99,Tutten, 2450 ,False,False,False,False,False,False,False,False,False
771,"55.671844,12.591552",1363.0,1,Pizzeria Kanalen, 1420 ,False,False,False,False,False,False,False,False,False
772,"55.69168,12.558265",1357.0,99,Nino’s pizzaria, ,False,False,False,False,False,True,False,False,False
773,"55.6795,12.57581",1355.0,99,Grabrodre Kro, 1154 ,False,False,False,False,False,False,False,False,False
774,"55.73415,12.51504",1354.0,2,Restaurant China Garden, 2860 ,False,False,False,False,False,False,False,False,False
775,"55.69987,12.541216",1348.0,2,Vi Mødtes Gennem Ruden, 2200 ,False,False,False,False,False,False,False,False,False
776,"55.68262,12.5865",1347.0,99,M, 1264 ,False,False,False,False,False,False,False,False,False
777,"55.65928,12.60616",1346.0,2,Naked Fish, ,False,False,False,False,False,False,False,False,False
