,Name,Bubble,Review,Priceclass,Dollarsign,Priceclass_num
117,Punk Royale,5,82,$$$$,$$$$,4.0
118,Amass,4.5,599,$$$$,$$$$,4.0
119,Alchemist,5,67,$$$$,$$$$,4.0
120,Restaurant U Formel,4.5,504,$$$$,$$$$,4.0
121,56°,4.5,208,$$$$,$$$$,4.0
122,Restaurant Kanalen,4,415,$$$$,$$$$,4.0
123,District Tonkin - Banh Mi,4.5,211,$,$,1.0
124,Barril Pasta & Wine Bar,4.5,73,$$ - $$$,$$ - $$$,2.5
125,Hatoba Sushi,4.5,134,$$ - $$$,$$ - $$$,2.5
126,Cafe Petersborg,4,410,$$ - $$$,$$ - $$$,2.5
127,Retour Steak,4,369,$$ - $$$,$$ - $$$,2.5
128,The Union Kitchen,4,769,$$ - $$$,$$ - $$$,2.5
129,RizRaz,4,"1,097",$$ - $$$,$$ - $$$,2.5
130,Kayak Bar,4.5,158,$$ - $$$,$$ - $$$,2.5
131,Neighbourhood,4,701,$$ - $$$,$$ - $$$,2.5
132,Atlas bar,4,312,$$ - $$$,$$ - $$$,2.5
133,Spiseloppen Christiania,4.5,237,$$ - $$$,$$ - $$$,2.5
134,Cafe Wilder,4,396,$$ - $$$,$$ - $$$,2.5
135,BrewPub,4,569,$$ - $$$,$$ - $$$,2.5
136,Restaurant Barr,4,278,$$ - $$$,$$ - $$$,2.5
137,Mon Amour,4,347,$$ - $$$,$$ - $$$,2.5
138,Skindbuksen,4,550,$$ - $$$,$$ - $$$,2.5
139,Restaurant Zeleste,4,552,$$ - $$$,$$ - $$$,2.5
140,Sokkelund Cafe & Brasserie,4,494,$$ - $$$,$$ - $$$,2.5
141,SSAM Korean Food Bar,4.5,162,$$ - $$$,$$ - $$$,2.5
142,Gitte Kik,4,278,$$ - $$$,$$ - $$$,2.5
143,Kodbyens Fiskebar,4,"2,417",$$ - $$$,$$ - $$$,2.5
144,Ristorante La Rocca,4,621,$$ - $$$,$$ - $$$,2.5
145,Restaurant Vita,4,495,$$ - $$$,$$ - $$$,2.5
146,Det Lille Apotek,4,935,$$ - $$$,$$ - $$$,2.5
147,Ida Davidsen,4,569,$$ - $$$,$$ - $$$,2.5
148,MASH,4,"1,097",$$$$,$$$$,4.0
149,Lumskebugten,4.5,215,$$$$,$$$$,4.0
150,Restaurant HUMMER,4,312,$$$$,$$$$,4.0
151,Restaurant no. 2,4,341,$$$$,$$$$,4.0
152,Veve,4.5,94,$$$$,$$$$,4.0
153,SALT Bar & Restaurant,4,"1,043",$$$$,$$$$,4.0
154,RizRaz,4,519,$,$,1.0
155,WOK Vesterbro,4.5,110,$,$,1.0
156,Liban Cuisine,5,57,$,$,1.0
157,Made in Italy,4.5,69,$,$,1.0
158,Grillen Norrebro,4,249,$,$,1.0
159,Restaurant Havfruen,4,390,$$ - $$$,$$ - $$$,2.5
160,Scarpetta,4,311,$$ - $$$,$$ - $$$,2.5
161,Tivolihallen,4,260,$$ - $$$,$$ - $$$,2.5
162,Mad & Kaffe,4.5,81,$$ - $$$,$$ - $$$,2.5
163,Apropos - Cafe & Restaurant,4,669,$$ - $$$,$$ - $$$,2.5
164,La Vecchia Signora,4,679,$$ - $$$,$$ - $$$,2.5
165,Halifax Frederiksberg,4,218,$$ - $$$,$$ - $$$,2.5
166,Salon 39,4.5,150,$$ - $$$,$$ - $$$,2.5
167,Cafe Oscar,4,575,$$ - $$$,$$ - $$$,2.5
168,Hansens Gamle Familiehave,4,317,$$ - $$$,$$ - $$$,2.5
169,BollyFood,4,218,$$ - $$$,$$ - $$$,2.5
170,Nyboders Kokken,4.5,188,$$ - $$$,$$ - $$$,2.5
171,Restaurant Pilekaelderen,4,144,$$ - $$$,$$ - $$$,2.5
172,Restaurant Wilhelm,4.5,67,$$ - $$$,$$ - $$$,2.5
173,The Market Asian Kitchen & Bar,4,247,$$ - $$$,$$ - $$$,2.5
174,Madklubben Vesterbro,4,"1,082",$$ - $$$,$$ - $$$,2.5
