,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1979,The Mexican Donkey,3.0,1972.0,------16,---,1 anmeldelse,"55.68176,12.58458",200.0,,Mexicansk,"Gothersgade 8 Located In The Bolton’s Food Court, København 1123 Danmark",,,,$$$$$$,99,-1972.0,30
1954,Cafe Temptation,3.0,1971.0,"------16,",--$$$$$$,1 anmeldelse,"55.71234,12.57653",3630.0,,,"Nygaardsvej 5, København 2100 Danmark",,,,$$$$$$,99,-1971.0,31
1974,Jabob's Bageri,3.0,1970.0,,--$$$$$$,1 anmeldelse,"55.66447,12.60274",2080.0,,,"Holmbladsgade 9, København Danmark",,,,$$$$$$,99,-1970.0,32
1963,Strædets Kaffebar,3.0,1969.0,,--$$$$$$,1 anmeldelse,"55.67692,12.57394",727.0,,,"Rådhusstræde 4, København 1466 Danmark",,,,$$$$$$,99,-1969.0,33
1961,Columbia Chicken & Burger,3.0,1968.0,------16,--$$$$$$,1 anmeldelse,"55.65353,12.61129",3397.0,,,"Amagerbrogade 171, København 2300 Danmark",,,,$$$$$$,99,-1968.0,34
1964,Kuzhi,3.0,1967.0,------1680.-999.,--$$$$------,1 anmeldelse,"55.67132,12.546208",2569.0,,Bar,"Vesterbrogade 97B Westmarket, København 1620 Danmark",,,,$$$$,3,-1967.0,35
1952,Nordic Noodles,3.0,1966.0,,--$$$$$$,1 anmeldelse,"55.66408,12.53609",3496.0,,,"Tapperitorvet 32, København 1799 Danmark",,,,$$$$$$,99,-1966.0,36
1955,Cafe Suhrs,3.0,1964.0,,--$$$$$$,2,"55.71409,12.57728",3818.0,,,"Oesterbrogade 151, København 2100 Danmark",,,,$$$$$$,99,-1964.0,37
1966,Shiimi - A New Taste of Thailand,3.0,1963.0,------16,---,2,"55.66693,12.59772",1681.0,,Thai,"Amagerbrogade 16, København 2300 Danmark",,,,$$$$$$,99,-1963.0,38
1950,AC Lounge,3.0,1962.0,"------16,",--$$-$$$,11,"55.63826,12.57757",4657.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Center Boulevard 5 AC Hotel Bella Sky, København 2300 Danmark",,,,$$-$$$,2,-1962.0,39
1958,Mecca,3.0,1961.0,"------16,",--$$$$$$,4,"55.69615,12.54583",3003.0,,,"Norrebrogade 183, København 2200 N Danmark",,,,$$$$$$,99,-1961.0,40
1971,Woodhouse Lounge,3.0,1960.0,,--$$-$$$,9,"55.67796,12.5712",845.0,2.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Vestergade 3 Tivoli, København 1630 Danmark",3.0,3.0,,$$-$$$,2,-1960.0,41
