,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1211,LêLê Street Kitchen // Fisketorvet,3.5,1203.0,------1674.-248.,--$$-$$$---------,57,"55.662724,12.562097",2366.0,3.5,Asiatisk,"Kalvebod Brygge 59 Fisketorvet Shopping Center, København 1560 Danmark",3.0,3.5,,$$-$$$,2,-1203.0,296
1180,Kösem,3.5,1194.0,"------16,,",--$---------,56,"55.69742,12.544217",3168.0,4.0,Fastfood,"Noerrebrogade 186, København 2200 Danmark",4.0,4.0,,$,1,-1194.0,297
1199,Magasasa,3.5,1192.0,"------16,",--$$-$$$---------,61,"55.66367,12.601171",2103.0,3.5,Asiatisk,"Amagerbrogade 44, København 2300 Danmark",4.0,4.0,4.0,$$-$$$,2,-1192.0,298
1171,Sanchez,3.5,1191.0,"------16,",--$$-$$$---------,134,"55.669823,12.555168",2142.0,3.5,Latinamerikansk,"Istedgade 60, København 1650 Danmark",2.5,3.5,,$$-$$$,2,-1191.0,299
1192,Café Trold,3.5,1184.0,------1620.-168.,--$$-$$$------,278,"55.67213,12.554994",2028.0,3.5,Café,"Vesterbrogade 53, København 1620 Danmark",3.5,3.0,3.5,$$-$$$,2,-1184.0,300
1176,Meyers Deli,3.5,1183.0,"------16,,,",--$$-$$$------,30,"55.6792,12.585042",102.0,3.0,Café,"Kongens Nytorv 13 I Magasin du Nord, København 1050 Danmark",3.5,3.5,,$$-$$$,2,-1183.0,301
1197,Senza Nome - Italiansk Restaurant,3.5,1179.0,------16,--$$-$$$---,80,"55.670856,12.558898",1882.0,4.0,Italiensk,"Istedgade 25, København 1650 Danmark",3.5,4.0,,$$-$$$,2,-1179.0,302
1196,Flyvergrillen,3.5,1178.0,------1667.-101.,--$------,74,"55.613724,12.630056",7909.0,3.0,Dansk,"Amager Landevej 290, København 2790 Danmark",3.5,3.0,3.5,$,1,-1178.0,303
1173,Cafe No 11,3.5,1176.0,"------16,,",--$$-$$$------,35,"55.681828,12.590356",438.0,4.0,Café,"Sankt Annae Plads 11, København 1250 Danmark",3.5,4.0,,$$-$$$,2,-1176.0,304
1174,PS Bar & Grill,3.5,1172.0,"------16,",--$$-$$$---,250,"55.680172,12.581241",186.0,3.0,Bar,"Pilestraede 12A, København 1112 Danmark",3.5,4.0,4.5,$$-$$$,2,-1172.0,305
1157,Cafe Castro,3.5,1151.0,"------16,,,",--$$-$$$------,45,"55.698673,12.541855",3371.0,3.5,Café,"Noerrebrogade 209, København 2200 Danmark",3.5,3.5,,$$-$$$,2,-1151.0,306
1140,Gorm's Amagerbrogade,3.5,1146.0,------1660.-141.,--$$-$$$------,29,"55.66069,12.60441",2491.0,4.0,Italiensk,"Amagerbrogade 82, København 2300 Danmark",4.0,4.0,,$$-$$$,2,-1146.0,307
1130,Barabbas,3.5,1133.0,"------16,,",--$$$$------,32,"55.682617,12.586363",324.0,3.5,Europæisk,"Store Kongensgade 34, København 1264 Danmark",3.0,3.5,,$$$$,3,-1133.0,308
1117,Beyti,3.5,1128.0,"------16,,,,",--$---------,31,"55.6879,12.56026",1740.0,4.0,Fastfood,"Nørrebrogade 13, København 2200 Danmark",4.0,4.0,3.5,$,1,-1128.0,309
1111,Noodle House,3.5,1117.0,------1627.-201.,--$$-$$$------,35,"55.67146,12.5596",1809.0,3.0,Asiatisk,"Abel Cathrines Gade 23, København 1654 Danmark",3.0,3.0,,$$-$$$,2,-1117.0,310
1104,Mama Ludbas,3.5,1111.0,------16101.-402.,--$$-$$$---------,133,"55.672886,12.549932",2288.0,3.5,Europæisk,"Værnedamsvej 2, København 1691 Danmark",3.5,3.5,3.5,$$-$$$,2,-1111.0,311
1095,Ocean Club Restaurant,3.5,1093.0,------16657.-1.341.,--$$-$$$,89,"55.712486,12.590398",3636.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Sundkrogskaj 17, København 2100 Danmark",4.0,4.0,4.5,$$-$$$,2,-1093.0,312
1101,Sofienholmcafe,3.5,1091.0,------16,--$$-$$$---,33,"55.77542,12.45759",13247.0,3.5,Café,"Nybrovej 401, København 2800 Danmark",4.0,4.0,,$$-$$$,2,-1091.0,313
1080,Viften,3.5,1083.0,"------16,",--$---,38,"55.6739,12.570938",1071.0,3.5,Dansk,"Inside Tivoli Gardens, København Danmark",3.5,3.5,,$,1,-1083.0,314
1067,Palace Hotel Restaurant,3.5,1076.0,------16,--$$-$$$------,40,"55.67626,12.57016",972.0,3.5,Europæisk,"Raadhuspladsen 57, København 1550 Danmark",3.0,3.5,,$$-$$$,2,-1076.0,315
1079,Kashmir Indisk Restaurant,3.5,1067.0,------1634.-127.,--$$-$$$------,55,"55.69895,12.58745",2120.0,3.5,Indisk,"Willemoesgade 75, København 2100 Danmark",4.0,4.0,3.5,$$-$$$,2,-1067.0,316
1061,Madklubben Østerbro,3.5,1063.0,"------16,,",--$$-$$$---,62,"55.703987,12.576781",2710.0,4.0,Centraleuropæisk,"Østerbrogade 59, København 2100 Danmark",3.5,4.0,,$$-$$$,2,-1063.0,317
1050,Thai restaurant,3.5,1059.0,------1654.-168.,--$$-$$$---------,59,"55.679234,12.56926",940.0,3.5,Asiatisk,"Skt. Peders Straede 27, København 1453 Danmark",3.5,3.5,4.0,$$-$$$,2,-1059.0,318
1034,Kost & Mask,3.5,1054.0,"------16,",--$$-$$$,31,"55.68203,12.60202",1141.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Ekvipagemestervej 10, København 1438 Danmark",3.0,3.5,,$$-$$$,2,-1054.0,319
1075,Søcafeen,3.5,1053.0,"------16,,",--$$-$$$---,107,"55.674168,12.568779",1162.0,3.5,Dansk,"Vesterbrogade 3 Tivoli, København 1630 Danmark",3.5,3.5,,$$-$$$,2,-1053.0,320
1035,Bar Jacobsen,3.5,1046.0,"------16,,,",--$$-$$$---,56,"55.67961,12.579692",285.0,4.0,Bar,"Østergade 52 Illum Rooftop, København 1001 Danmark",4.0,4.0,,$$-$$$,2,-1046.0,321
1033,Chicks by Chicks,3.5,1044.0,"------16,",--$$-$$$,77,"55.672462,12.554686",2030.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Vesterbrogade 55, København 1620 Danmark",3.5,4.0,,$$-$$$,2,-1044.0,322
1024,Cafe 8Tallet,3.5,1038.0,"------16,,,",--$$-$$$------,265,"55.61646,12.570473",7115.0,3.5,Café,"Richard Mortensens Vej 81A, København 2300 Danmark",3.0,3.5,3.5,$$-$$$,2,-1038.0,323
1022,Halvandet,3.5,1027.0,"------16,",--$$-$$$---,46,"55.695545,12.608403",2302.0,3.5,Grill,"Refshalevej 325, København 1432 Danmark",3.0,3.5,4.0,$$-$$$,2,-1027.0,324
1049,Le Poêlon D'or,3.5,1026.0,------1660.-597.,--$$-$$$------,61,"55.679173,12.569291",938.0,3.5,Europæisk,"Sankt Peders Stræde 27, København 1453 Danmark",3.5,4.0,,$$-$$$,2,-1026.0,325
1019,The South Indian Fields,3.5,1014.0,------1640.-127.,--$$-$$$---------,53,"55.630047,12.578019",5565.0,4.0,Asiatisk,"Arne Jacobsens Alle 12, København 2300 Danmark",4.0,4.5,,$$-$$$,2,-1014.0,326
997,Kardemomme,3.5,1012.0,------16134.-168.,--$$-$$$---------,47,"55.74296,12.58031",7008.0,4.0,Asiatisk,"Maglemosevej 1, København 2900 Danmark",3.5,4.0,3.5,$$-$$$,2,-1012.0,327
1018,Spise\Bar Nr. 20,3.5,1006.0,"------16,,,",--$$-$$$---,51,"55.686108,12.55106",2186.0,3.5,Europæisk,"Rantzausgade 20, København 2200 Danmark",3.5,4.0,,$$-$$$,2,-1006.0,328
1007,Bryggeri Skovlyst,3.5,999.0,------16215.-268.,--$$-$$$---,255,"55.762886,12.383607",15582.0,3.5,Dansk,"Skovlystvej 2, København 3500 Danmark",3.5,3.5,4.0,$$-$$$,2,-999.0,329
990,Le Basilic,3.5,997.0,------16235.-671.,--$$-$$$------,183,"55.67187,12.556146",1976.0,3.0,Europæisk,"Gasvaerksvej 5, København 1656 Danmark",3.5,4.0,4.0,$$-$$$,2,-997.0,330
978,Fish 'n' chips tivoli,3.5,992.0,"------16,",--$------,69,"55.672985,12.570514",1157.0,3.5,Fastfood,"Tivoli, København Danmark",3.0,3.0,3.0,$,1,-992.0,331
985,Dalle Valle Fields,3.5,991.0,"------16,",--$$-$$$------,95,"55.62979,12.578644",5591.0,3.5,Dansk,"Ørestads Blvd 90, København 2300 Danmark",4.0,4.0,,$$-$$$,2,-991.0,332
974,Restaurant G,3.5,986.0,------16,--$$-$$$,50,"55.666504,12.53936",3185.0,3.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Ny Carlsberg Vej 38 Hjørnet af Vesterfælledvej og Ny Carlsberg Vej, København 1760 Danmark",3.5,4.0,,$$-$$$,2,-986.0,333
989,Liberty Burgers & Grill,3.5,983.0,"------16,",--$$-$$$---,111,"55.66238,12.563169",2359.0,3.5,Amerikansk,"Kalvebod Brygge 59, 2. Sal Fisketorvet Copenhagen Mall, København 1560 Danmark",3.5,3.5,,$$-$$$,2,-983.0,334
977,Osterbros Originale Burgerrestaurant,3.5,975.0,"------16,",--$$-$$$---,102,"55.699448,12.577938",2200.0,3.0,Amerikansk,"Osterbrogade 74, København 1650 Danmark",3.0,3.5,,$$-$$$,2,-975.0,335
987,Nyhavn 17,3.5,972.0,------16101.-349.,--$$-$$$---,746,"55.68054,12.589125",316.0,3.5,Bar,"Nyhavn 17, København 1051 Danmark",3.0,3.5,4.0,$$-$$$,2,-972.0,336
962,Gorm's Fields,3.5,967.0,------1634.-114.,--$$-$$$---------,180,"55.6293,12.579278",5643.0,3.5,Europæisk,"Ørestadsboulevard 102B, København 2300 Danmark",3.5,3.5,,$$-$$$,2,-967.0,337
972,Nagoya,3.5,963.0,"------16,,,",--$$-$$$---------,61,"55.68949,12.574297",1226.0,4.0,Fisk og skaldyr,"Soelvgade 84, København 1307 Danmark",4.0,3.5,4.0,$$-$$$,2,-963.0,338
934,Nakorn Thai,3.5,952.0,------16168.-469.,--$$-$$$---------,60,"55.68619,12.589289",761.0,4.0,Asiatisk,"Store Kongensgade 87, København 1264 Danmark",3.5,3.5,3.0,$$-$$$,2,-952.0,339
942,King Ya Running Sushi & Wok,3.5,948.0,"------16,",--$$-$$$------,58,"55.65968,12.606294",2649.0,3.5,Asiatisk,"Amagerbrogade 93, København 2300 Danmark",3.5,3.5,3.0,$$-$$$,2,-948.0,340
940,Bryggeriet Apollo,3.5,947.0,"------16,,",--$$-$$$------,73,"55.674942,12.565747",1285.0,4.0,Dansk,"Vesterbrogade 3, København 1620 Danmark",3.5,4.0,,$$-$$$,2,-947.0,341
948,Restaurant Flammen København Nyropsgade,3.5,946.0,------16201.-221.,--$$-$$$---,66,"55.680298,12.561492",1423.0,4.0,Grill,"Nyropsgade 2, København 1602 Danmark",3.5,3.5,,$$-$$$,2,-946.0,342
957,Cock's & Cows Ravnsborggade,3.5,941.0,------1627.-181.,--$$-$$$---,69,"55.688774,12.562444",1678.0,3.5,Amerikansk,"Ravnsborggade 14 2200 Copenhagen N, København 2200 Danmark",3.5,4.0,,$$-$$$,2,-941.0,343
952,"Vapiano Frederiksborggade, København",3.5,939.0,"------16,",--$$-$$$---------,57,"55.682976,12.572922",781.0,3.5,Italiensk,"Frederiksborggade 5, København Danmark",2.5,3.0,,$$-$$$,2,-939.0,344
907,Hereford Village,3.5,928.0,"------16,,",--$$-$$$------,252,"55.67706,12.570591",912.0,3.5,Europæisk,"Frederiksberggade 21/1, København 1459 Danmark",3.5,3.5,3.5,$$-$$$,2,-928.0,345
919,Cafe cyprus,3.5,912.0,"------16,,,",--$---------,51,"55.66273,12.56147",2389.0,4.0,Europæisk,"Kalvebodbrygge 59, København Danmark",4.0,4.0,3.0,$,1,-912.0,346
923,Cafe Hoppes,3.5,909.0,------1687.-228.,--$$-$$$---,224,"55.67809,12.577993",442.0,3.5,Amerikansk,"Læderstræde 11A, København 1201 Danmark",3.5,3.5,3.5,$$-$$$,2,-909.0,347
918,Restaurant Fyrtøjet,3.5,903.0,"------16,,",--$$-$$$---,287,"55.6805,12.588569",281.0,3.5,Dansk,"Nyhavn 11, København 1051 Danmark",3.5,3.5,3.5,$$-$$$,2,-903.0,348
915,Mirabelle,3.5,901.0,------16570.-1.844.,--$$-$$$---------,183,"55.692387,12.556382",2223.0,3.5,Europæisk,"Guldbergsgade 29, København 2200 Danmark",3.5,4.0,,$$-$$$,2,-901.0,349
879,Bistro Kivi,3.5,897.0,------1667.-376.,--$$-$$$---------,81,"55.67267,12.56204",1609.0,4.0,Asiatisk,"Colbjoernsensgade 7, København 1652 Danmark",4.0,4.0,3.5,$$-$$$,2,-897.0,350
874,Leonore Christine,3.5,895.0,------1680.-248.,--$$-$$$------,52,"55.68047,12.588297",263.0,4.5,Dansk,"Nyhavn 9, København 1051 Danmark",3.5,4.0,,$$-$$$,2,-895.0,351
895,Wok On,3.5,893.0,"------16,",--$---------,62,"55.67812,12.580182",325.0,4.0,Asiatisk,"Hoejbro Plads 19, København 1200 Danmark",4.0,4.0,,$,1,-893.0,352
883,La Vecchia Italia,3.5,889.0,------16872.-1.871.,--$$-$$$---------,137,"55.672314,12.567762",1337.0,3.5,Italiensk,"Vesterbrogade 3 Tivoli, København 1620 Danmark",3.5,4.0,4.0,$$-$$$,2,-889.0,353
892,"Magasasa, Dim Sum & Cocktails",3.5,887.0,"------16,",--$$-$$$---------,150,"55.66719,12.558942",2128.0,3.0,Asiatisk,"Flaesketorvet 54/56 Kodbyen, København 1711 Danmark",3.5,4.0,,$$-$$$,2,-887.0,354
890,Ristorante Fabios Paparazzi,3.5,884.0,"------16,,",--$$-$$$---------,143,"55.68141,12.583349",168.0,4.0,Europæisk,"Groennegade 33, København 1107 Danmark",3.5,4.0,4.5,$$-$$$,2,-884.0,355
889,Gran Torino Pizza,3.5,882.0,"------16,,",--$$-$$$---------,109,"55.688107,12.562924",1611.0,3.5,Europæisk,"Gran Torino Sortedam Dossering 7C Baghuset, København 2200 Danmark",3.5,3.5,4.0,$$-$$$,2,-882.0,356
858,Cafe Bjorg's,3.5,874.0,------16134.-168.,--$$-$$$------,131,"55.67768,12.56694",1111.0,4.0,Café,"Vester Voldgade 19, København 1552 Danmark",4.0,4.0,4.0,$$-$$$,2,-874.0,357
855,Shakedown,3.5,872.0,"------16,",--$$-$$$------,72,"55.67943,12.533501",3178.0,3.5,Amerikansk,"Falkoner Alle 12, København 2000 Danmark",3.5,4.0,,$$-$$$,2,-872.0,358
826,Cafe Zalt,3.5,865.0,------1687.-228.,--$$-$$$,261,"55.677773,12.576818",523.0,3.5,Bar,"Kompagnistraede 1206, København 1208 Danmark",3.5,3.5,3.5,$$-$$$,2,-865.0,359
869,Spicey Kitchen,3.5,852.0,"------16,",--$---------,92,"55.67161,12.59255",1068.0,3.5,Asiatisk,"56 Torvegade, København Danmark",4.0,3.5,3.5,$,1,-852.0,360
862,Bazaar,3.5,851.0,------16228.-376.,--$$-$$$---------,73,"55.683723,12.586172",435.0,3.5,Libanesisk,"Dronningens Tværgade 21, København 1302 Danmark",3.0,3.5,,$$-$$$,2,-851.0,361
847,Salt & Pepper,3.5,845.0,------16,--$$-$$$---,60,"55.64515,12.63718",5103.0,3.0,Europæisk,"Engvej 171, København 2300 Danmark",3.0,3.5,,$$-$$$,2,-845.0,362
852,Meyer's Deli,3.5,843.0,"------16,,,,",--$$-$$$---,91,"55.67437,12.54993",2237.0,3.5,Café,"107 Gammel Kongevej, København Danmark",3.5,4.0,3.5,$$-$$$,2,-843.0,363
812,Milano Restaurant & Pizzaria,3.5,838.0,"------16,,",--$$-$$$---------,125,"55.630013,12.577986",5569.0,3.5,Europæisk,"Arne Jacobsens Allé 12, København Danmark",3.0,3.0,3.0,$$-$$$,2,-838.0,364
811,The Scottish Pub,3.5,831.0,------1627.-101.,--$$-$$$,105,"55.676025,12.567459",1137.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Rådhuspladsen 16 Central Square, København 1550 Danmark",4.0,3.5,,$$-$$$,2,-831.0,365
838,L'Anfora,3.5,828.0,------1667.-248.,--$$-$$$---------,81,"55.68346,12.57732",579.0,4.0,Europæisk,"Gothersgade 93, København 1123 Danmark",3.5,3.5,3.5,$$-$$$,2,-828.0,366
822,Café Alma,3.5,820.0,------1647.-201.,--$$-$$$---,234,"55.665554,12.578596",1642.0,3.5,Café,"Isafjordsgade 5-7, København 2300 Danmark",3.5,4.0,4.5,$$-$$$,2,-820.0,367
833,Greasy Spoon,3.5,816.0,------1687.-349.,--$$-$$$------,185,"55.678795,12.56986",908.0,3.5,Amerikansk,"Studiestræde 14, København 1455 Danmark",3.5,3.5,4.0,$$-$$$,2,-816.0,368
820,Bombay,3.5,813.0,------16168.-671.,--$$-$$$---------,120,"55.676403,12.571426",893.0,3.5,Asiatisk,"Lavendelstraede 13, København 1462 Danmark",3.5,4.0,3.5,$$-$$$,2,-813.0,369
814,Restaurant Porn-Sak,3.5,809.0,"------16,",--$---------,82,"55.669155,12.558005",2036.0,4.0,Asiatisk,"Halmtorvet 40, København 1700 Danmark",4.0,4.0,3.5,$,1,-809.0,370
807,Pixie,3.5,796.0,"------16,,,",--$$-$$$------,120,"55.705128,12.581124",2803.0,3.5,Café,"Løgstørgade 2, København Danmark",3.5,3.5,4.0,$$-$$$,2,-796.0,371
806,Barbar Bar,3.5,792.0,"------16,,,",--$$-$$$------,121,"55.67209,12.554971",2031.0,4.0,Café,"Vesterbrogade 51, St, København 1620 Danmark",4.0,4.0,4.0,$$-$$$,2,-792.0,372
804,Boulebar Nørregade,3.5,788.0,"------16,,,",--$$-$$$------,118,"55.68074,12.571269",814.0,3.5,Bar,"Nørregade 18, København 1165 Danmark",3.5,3.5,,$$-$$$,2,-788.0,373
782,Svane Pub,3.5,782.0,"------16,",--$---,56,"55.716972,12.577208",4137.0,4.0,Dansk,"Strandvejen 10, København 2100 Danmark",4.0,3.5,3.5,$,1,-782.0,374
754,Streckers,3.5,773.0,"------16,",--$$-$$$,113,"55.677746,12.572257",788.0,4.0,Bar,"Vesterbrogade 2B, København 1620 Danmark",3.5,3.5,4.0,$$-$$$,2,-773.0,375
774,Restaurant BARK,3.5,757.0,"------16,,",--$$-$$$------,87,"55.626938,12.576431",5918.0,4.0,Europæisk,"Oerestads Boulevard 114/118 Crowne Plaza, København 2300 Danmark",3.5,4.0,,$$-$$$,2,-757.0,376
751,Restaurant Els,3.5,756.0,"------16,,",--$$-$$$---,299,"55.68086,12.587671",239.0,3.5,Dansk,"Store Strandstraede 3, København 1255 Danmark",3.0,3.5,3.5,$$-$$$,2,-756.0,377
770,Cafe Stella,3.5,751.0,"------16,",--$$-$$$---------,347,"55.677155,12.57546",631.0,3.0,Café,"Kompagnistraede 18, København 1208 Danmark",3.0,3.0,3.5,$$-$$$,2,-751.0,378
735,Restaurant Kul,3.5,749.0,------1647.-127.,--$$$$---,133,"55.668163,12.557932",2106.0,4.0,Dansk,"Hokerboderne 16B-20, København 1712 Danmark",3.5,4.0,,$$$$,3,-749.0,379
748,Cafe Taxa,3.5,728.0,------1647.-188.,--$$-$$$------,97,"55.693474,12.542024",3039.0,4.0,Café,"Horsholmsgade 32 Norrebro, København 2200 Danmark",4.0,4.0,4.0,$$-$$$,2,-728.0,380
708,Magasasa street kitchen,3.5,724.0,"------16,",--$$-$$$---------,228,"55.67234,12.563185",1567.0,3.0,Asiatisk,"Istedgade 4, København 1650 Danmark",4.0,4.0,3.0,$$-$$$,2,-724.0,381
711,Tivoli Biergarten,3.5,719.0,"------16,,,",--$$-$$$------,101,"55.672813,12.566708",1355.0,3.5,Bar,"Bernstorffsgade 7, København 1577 Danmark",3.5,3.5,,$$-$$$,2,-719.0,382
691,Café og Restaurant Ofelia,3.5,718.0,------1627.-228.,--$$-$$$---,202,"55.679848,12.594628",655.0,3.5,Dansk,"Skt. Annæ Plads 36, København 1250 Danmark",3.5,3.5,4.0,$$-$$$,2,-718.0,383
701,Grand Vue,3.5,714.0,------1647.-101.,--$$-$$$---,148,"55.662357,12.563091",2364.0,4.0,Dansk,"Fisketorvet Shoppingcenter, København Danmark",4.0,3.5,3.5,$$-$$$,2,-714.0,384
713,Tribeca NV,3.5,711.0,------16201.-248.,--$$-$$$---------,141,"55.70627,12.534121",4289.0,3.5,Europæisk,"Bygmestervej 2, København 2200 Danmark",3.5,4.0,4.0,$$-$$$,2,-711.0,385
704,cafe viggo,3.5,709.0,------16194.-248.,--$$-$$$---------,108,"55.674065,12.549752",2257.0,3.5,Café,"Vaernedamsvej 15, København Danmark",3.5,4.0,3.5,$$-$$$,2,-709.0,386
718,Cafe Wanna'B,3.5,708.0,------1687.-228.,--$$-$$$------,123,"55.677708,12.576665",535.0,3.5,Café,"Kompagnistraede 4, København 1208 Danmark",3.5,3.5,3.5,$$-$$$,2,-708.0,387
695,Wokshop Cantina Take Away,3.5,698.0,------16101.-308.,--$$-$$$---------,168,"55.68128,12.584042",145.0,3.5,Asiatisk,"Ny Adelgade 6, København 1104 Danmark",4.0,4.0,3.5,$$-$$$,2,-698.0,388
715,El Tapeo,3.5,697.0,------16101.-302.,--$$-$$$---------,135,"55.681976,12.573544",703.0,4.0,Europæisk,"Peder Hvitfeldts Stræde 15 1173, København 1173 Danmark",3.5,3.5,4.0,$$-$$$,2,-697.0,389
661,A Hereford Beefstouw København,3.5,687.0,"------16,",--$$-$$$------,124,"55.68297,12.57737",542.0,4.0,Europæisk,"Åbenrå 8, København 1124 Danmark",3.5,4.0,3.5,$$-$$$,2,-687.0,390
660,Restaurant Klubben,3.5,686.0,"------16,",--$$-$$$,231,"55.67116,12.545865",2595.0,3.5,Dansk,"Enghavevej 4, København Danmark",3.5,3.5,3.5,$$-$$$,2,-686.0,391
687,Restaurant Sundby Sejlforening,3.5,685.0,"------16,",--$$-$$$,113,"55.66447,12.631825",3449.0,3.5,Dansk,"Amager Strandvej 15, København Danmark",4.0,4.0,4.0,$$-$$$,2,-685.0,392
674,Cafe 22,3.5,681.0,------1687.-228.,--$$-$$$------,171,"55.688934,12.564833",1570.0,3.5,Café,"Sortedam Dossering 21, København 2200 Danmark",3.5,3.5,4.0,$$-$$$,2,-681.0,393
685,TGI Fridays,3.5,676.0,"------16,,",--$$-$$$------,480,"55.67866,12.579888",307.0,3.5,Amerikansk,"Hojbro Plads 5-7, København 1200 Danmark",3.0,3.5,,$$-$$$,2,-676.0,394
636,Kiin Kiin Bao Bao,3.5,661.0,------16,--$$-$$$---------,134,"55.672173,12.547767",2443.0,3.5,Asiatisk,"Vesterbrogade 96, København 1620 Danmark",4.0,4.5,,$$-$$$,2,-661.0,395
649,Café Espersen,3.5,651.0,"------16,,,",--$$-$$$---,166,"55.59343,12.677923",11279.0,4.0,Café,"Færgevej 1-3, København 2791 Danmark",3.5,3.5,4.0,$$-$$$,2,-651.0,396
634,Faergekroen Bryghus,3.5,649.0,------16107.-315.,--$$-$$$---,483,"55.674164,12.569731",1113.0,3.5,Dansk,"Vesterbrogade 3, 1630 København V Tivoli, København Danmark",3.0,3.5,4.0,$$-$$$,2,-649.0,397
643,The Ricemarket,3.5,648.0,"------16,",--$$-$$$---------,261,"55.682575,12.574326",682.0,3.5,Asiatisk,"Ved Kultorvet, København 1128 Danmark",3.5,3.5,3.0,$$-$$$,2,-648.0,398
630,Cafe Oven Vande,3.5,646.0,"------16,,,,",--$$-$$$------,235,"55.673332,12.592757",914.0,3.5,Café,"Overg. Oven Vandet 44, København 1415 Danmark",3.5,3.5,4.0,$$-$$$,2,-646.0,399
632,Café Dalle Valle,3.5,639.0,"------16,,,",--$------,125,"55.68096,12.572663",731.0,3.5,Café,"Kalvebod Brygge 59 Fisketorvet, København 1561 Danmark",3.5,3.5,,$,1,-639.0,400
617,Restaurant Ankara,3.5,630.0,------16201.-201.,--$---------,151,"55.681213,12.573969",655.0,4.0,Mellemøstlig,"Krystalgade 8/10 1172 København K, København 1172 Danmark",4.0,4.0,3.5,$,1,-630.0,401
618,LêLê Street Kitchen // Vesterbro,3.5,621.0,------1660.-201.,--$$-$$$---------,174,"55.672424,12.553517",2099.0,4.0,Asiatisk,"Vesterbrogade 40, København 1620 Danmark",3.5,4.0,3.5,$$-$$$,2,-621.0,402
602,Brdr. Price i Tivoli,3.5,618.0,------16101.-248.,--$$-$$$---,529,"55.674046,12.568372",1191.0,3.5,Dansk,"Vesterbrogade 3 Tivoli, København 1630 Danmark",3.5,3.5,4.0,$$-$$$,2,-618.0,403
623,Fu Hao,3.5,614.0,"------16,",--$$-$$$------,132,"55.671665,12.562683",1635.0,3.5,Asiatisk,"Colbjoernsensgade 15, København 1652 Danmark",4.0,4.0,3.5,$$-$$$,2,-614.0,404
607,Geist,3.5,604.0,"------16,,",--$$$$---,1.339,"55.6812,12.586202",186.0,3.5,Dansk,"Kongens Nytorv 8, København 1050 Danmark",3.5,4.0,4.0,$$$$,3,-604.0,405
585,Ristorante ITALIANO Pompei,3.5,575.0,------1647.-201.,--$$-$$$---------,226,"55.682617,12.574358",683.0,3.5,Europæisk,"Kultorvet 14, København 1175 Danmark",3.5,4.0,4.0,$$-$$$,2,-575.0,406
592,Ved Kajen,3.5,572.0,"------16,,,,",--$$-$$$------,353,"55.67996,12.590902",421.0,3.5,Europæisk,"Nyhavn 43, København Danmark",3.5,3.5,4.0,$$-$$$,2,-572.0,407
550,A Hereford Beefstouw Tivoli,3.5,563.0,"------16,,",--$$-$$$------,1.219,"55.674892,12.565828",1283.0,3.5,Dansk,"Vesterbrogade 3 Kobenhavn, København 1620 Danmark",3.0,4.0,3.5,$$-$$$,2,-563.0,408
549,the laundromat cafe,3.5,560.0,"------16,,",--$$-$$$------,146,"55.70612,12.580587",2916.0,3.5,Café,"Aarhusgade 38, København 2100 Danmark",3.5,3.5,4.0,$$-$$$,2,-560.0,409
545,Ristorante Vesuvio of Copenhagen,3.5,556.0,"------16,,",--$$-$$$---------,510,"55.676743,12.56681",1147.0,3.5,Europæisk,"Raadhuspladsen 4 4, Radhuspladsen, København 1550 Danmark",3.5,3.5,3.5,$$-$$$,2,-556.0,410
554,Sea by Kiin Kiin,3.5,555.0,"------16,",--$$-$$$---------,185,"55.679214,12.593335",580.0,3.5,Asiatisk,"Nyhavn 71, København 1051 Danmark",3.5,4.0,,$$-$$$,2,-555.0,411
555,Tandoori Masala,3.5,548.0,------1687.-168.,--$$-$$$---------,145,"55.67088,12.56245",1697.0,3.5,Indisk,"Halmtorvet 5, København 1700 Danmark",3.5,3.5,3.5,$$-$$$,2,-548.0,412
557,"Restaurant Paafuglen,Tivoli",3.5,545.0,------1674.-221.,--$$-$$$---,398,"55.6742,12.56754",1226.0,4.0,Dansk,"Vesterbrogade 3 Kobenhavn V, København 1650 Danmark",3.5,3.5,3.5,$$-$$$,2,-545.0,413
552,Wagamama,3.5,542.0,"------16,,",--$$-$$$---------,816,"55.67241,12.568988",1271.0,3.5,Asiatisk,"Tietgensgade 20, København 1704 Danmark",3.5,3.5,3.0,$$-$$$,2,-542.0,414
528,L'Altro,3.5,541.0,------16402.-1.495.,--$$-$$$---------,248,"55.671417,12.593397",1113.0,4.0,Europæisk,"Torvegade 62, København 1400 Danmark",3.5,4.0,4.0,$$-$$$,2,-541.0,415
