,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexikansk,Steakhouse
89,Pizzaport Femøren, 2300 ,True,False,False,False,False,True,False,False,False
90,VACA - Mexican Finger Food, 2100 ,False,False,False,False,False,False,False,False,False
91,Indian Ocean, 2300 ,False,False,False,False,False,False,False,False,False
92,Thai2You, ,False,False,False,True,False,False,False,False,False
93,Dāna, 1360 ,False,False,False,False,False,False,True,False,False
94,Kaelderen 13, 1208 ,False,False,False,False,False,True,False,False,False
95,PS Bar, 2100 ,False,False,False,False,True,False,False,False,False
96,Lazio Italiano, ,True,False,False,False,False,True,False,False,False
97,Mat 99, 1114 ,False,False,False,False,False,False,False,False,False
98,Chinos, 1560 ,False,False,False,False,False,False,False,False,False
99,Den skaldede Kok, ,False,False,False,False,False,False,False,False,False
100,Fisch-Art, 1436 ,False,False,False,False,False,False,False,False,False
101,Restaurant New Ankara, ,False,False,False,False,False,False,False,False,False
102,Bobuska, 1361 ,False,False,False,False,True,False,False,False,False
103,Nachos, 1620 ,False,False,False,False,False,False,False,False,False
104,Restaurant Babylon, 1369 ,False,False,False,False,False,False,False,False,False
105,Vestauranten, ,False,False,False,False,False,False,False,False,False
106,The Shrimp, 1250 ,False,False,False,False,False,False,False,False,False
107,Bodega Tivoli Vinstue, ,False,False,False,False,False,False,False,False,False
108,Eataly, 1100 ,False,False,False,False,False,True,False,False,False
109,7/11, 1570 ,False,False,False,False,False,False,False,False,False
110,Café Koebenhavn, ,False,False,False,False,False,False,False,False,False
111,Café CiCi, 1900 ,False,False,False,False,False,False,False,False,False
112,RicenCurry, 2000 ,False,False,False,False,False,False,True,False,False
113,Konnild's, 2000 ,False,False,False,False,False,False,False,False,False
114,Venus Pizzeria, 2000 ,True,False,False,False,False,False,True,False,False
115,Mama Rosa, 2000 ,True,False,False,False,False,True,False,False,False
116,Kageværket, 2000 ,False,False,False,False,True,False,False,False,False
117,Spise/Bar15, 1958 ,False,False,False,False,False,False,False,False,False
118,Pasta Mania, 2200 ,False,False,False,False,False,False,False,False,False
119,La Sirene, 1051 ,True,False,False,False,False,True,False,False,False
120,Mama Rosa, 1100 ,True,False,False,False,False,True,False,False,False
121,Kervan, ,False,False,False,False,False,False,False,False,False
122,Axelborg Chinese Restaurant, A 1609 ,False,False,False,False,False,False,False,False,False
123,Restaurant Nova, 1159 ,False,False,False,False,False,True,False,False,False
124,Wan Hao, 2300 ,False,False,False,False,False,False,False,False,False
125,Benvenuti Pizzeria Emdrup, 2100 ,False,False,False,False,False,True,False,False,False
126,Maggies, 1620 ,False,False,False,False,False,False,False,False,False
127,Pirateriet, 1630 ,False,False,False,False,False,False,False,False,False
128,Stefanos Grønne Hjørne, 2200 ,False,False,False,False,False,False,False,False,False
129,Cafe Sundet, 2100 ,False,False,False,False,False,False,False,False,False
130,Kafeteria, 1307 ,False,False,False,False,True,False,False,False,False
131,7 Seas Restaurant, ,False,False,False,False,False,False,False,False,False
132,Cafe Two o Two, 2300 ,False,False,False,False,False,False,False,False,False
133,Wedo burgers, 2300 ,False,False,False,False,False,False,False,False,False
134,Restaurant Royal Palace, 1165 ,False,True,False,False,False,False,False,False,False
135,Cafe Bopa, 2100 ,False,False,False,False,True,False,False,False,False
136,Teglværket, 2450 ,False,False,False,False,False,False,False,False,False
137,India Palace Restaurant, 1553 ,False,False,False,False,False,False,True,False,False
138,Cafe Ludwigsen, 1751 ,False,False,False,False,False,False,False,False,False
139,Hennings Corner, 2300 ,False,False,False,False,False,False,False,False,False
140,Cafe Phenix, 2300 ,False,False,False,False,False,False,False,False,False
141,Restaurant Barcelona, ,False,False,False,False,False,False,False,False,False
142,Senorita Mexicansk Restaurant, 1650 ,False,False,False,False,False,False,False,False,False
143,Mocca Kaffebar, 2100 ,False,False,False,False,True,False,False,False,False
144,Indiana Mexican Restaurant, ,False,False,False,False,False,False,True,False,False
145,McDonald's Kongens Nytorv, 1050 ,False,False,False,False,False,False,False,False,False
146,Restaurant Laura, ,False,False,False,False,False,False,False,False,False
147,Canton Restaurant, 1620 ,False,False,False,False,False,False,False,False,False
148,Mamma's, 1550 ,False,False,False,False,False,False,False,False,False
149,Nubilo Pizza, 2300 ,False,False,False,False,False,False,False,False,False
150,Jin Cheng, 1606 ,False,False,False,False,False,False,False,False,False
151,Rosetta Delikatesser, 2100 ,False,False,False,False,False,False,False,False,False
152,Kebaben, 1150 ,False,False,False,False,False,False,False,False,False
153,Hansens Is Kaffe, ,False,False,False,False,False,False,False,False,False
154,Pizza House, 1561 ,True,False,False,False,False,False,False,False,False
155,Sicilia Pizzeria, ,True,False,False,False,False,False,False,False,False
156,Strand Pizza, 2100 ,False,False,False,False,False,False,False,False,False
157,Dorfs Gastrobar, 1151 ,False,False,False,False,False,False,False,False,False
158,LETZ SUSHI FISKETORVET, 1561 ,False,True,False,False,False,False,False,False,False
159,Restaurant Eldorado, 1408 ,False,False,False,False,False,False,False,False,False
160,Cafe Restaurant Bar Hollywood, 1460 ,False,False,False,False,False,False,False,False,False
161,Ishuset, 1400 ,False,False,False,False,False,False,False,False,False
162,Thali, ,False,False,False,False,False,False,False,False,False
163,Burger Palace, 1620 ,True,False,False,False,False,False,False,False,False
164,YoSushi, ,False,True,False,False,False,False,False,False,False
165,Philly's Danmark, 1123 ,False,False,False,False,False,False,False,False,False
166,Café Bambú, 2200 ,False,False,False,False,True,False,False,False,False
167,Indian Flavours, 2720 ,False,False,False,False,False,False,True,False,False
168,Um Hanza, 2200 ,False,False,False,False,False,False,False,False,False
169,Kødbyens Rosébar, ,False,False,False,False,False,False,False,False,False
170,ArkArd, ,False,False,False,True,False,False,False,False,False
171,Hiko Pizza, 2300 ,True,False,False,False,False,False,False,False,False
172,Stubben Cafe & Bar, 2450 ,False,False,False,False,False,False,False,False,False
173,Restaurant Fodkold, ,False,False,False,False,False,False,False,False,False
174,hotel Amerika, 9500 ,False,False,False,False,False,False,False,False,False
175,Carl's Madhus, 1799 ,False,False,False,False,False,False,False,False,False
176,Roma Pizzeria & Grill, 2760 ,False,False,False,False,False,False,False,False,False
