Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere
Da Aldo Pizzeria,4.5,445.0,------1640.-74.,--$$$$------,31 anmeldelser,"55.68458,12.566907",1198.0,4.5,Italiensk,"Vendersgade 16, København 1363 Danmark",5.0,4.5,
Gorm's Nyhavn,3.5,437.0,------1647.-302.,--$$-$$$---------,308 anmeldelser,"55.679874,12.590111",371.0,3.5,Europæisk,"Nyhavn 14, København 1051 Danmark",3.5,4.0,4.0
Grillen Christianshavn,4.0,421.0,"------16,,",--$$-$$$------,100 anmeldelser,"55.67167,12.591255",1024.0,4.0,Amerikansk,"Dronningensgade 42, København 1420 Danmark",4.0,4.0,
Tapas Huset,3.5,427.0,------1660.-248.,--$$-$$$---------,376 anmeldelser,"55.676216,12.566183",1204.0,3.5,Europæisk,"Jernbanegade 4 Radhuspladsen, København 1608 Danmark",3.5,4.0,
Cafe Kitchenette,4.0,24.0,"------16,,,",--$$-$$$------,149 anmeldelser,"55.681324,12.549269",2194.0,4.0,Café,"HC Ørstedsvej 46, Frederiksberg, København 1879 Danmark",4.0,4.0,5.0
Harrys Place,4.5,440.0,"------16,,,",--$---,44 anmeldelser,"55.69981,12.536436",3718.0,4.0,Dansk,"Nordre Fasanvej 269, København 2200 Danmark",4.5,4.5,
Pizzicato,5.0,25.0,"------16,,,",--$---------,43 anmeldelser,"55.675213,12.547089",2386.0,4.5,Fastfood,"Gammel Kongevej 101, Frederiksberg, København 1850 Danmark",4.5,5.0,
Chicky Grill-Bar,4.0,434.0,------1647.-101.,--$---,70 anmeldelser,"55.669067,12.558372",2023.0,4.0,Europæisk,"Halmtorvet 21, København Danmark",4.5,4.5,3.5
Ankara,3.5,439.0,"------16,",--$---------,312 anmeldelser,"55.672768,12.557859",1835.0,3.5,Mellemøstlig,"Vesterbrogade 35, København 1620 Danmark",4.0,3.5,3.0
The Italian,3.5,420.0,"------16,",--$$-$$$---------,461 anmeldelser,"55.677307,12.567539",1085.0,3.5,Italiensk,"Vester Voldgade 25 1552 Kobenhavn V, København Danmark",3.5,4.0,3.5
Selfish Take Away,4.5,447.0,------16141.-208.,--$$-$$$---------,71 anmeldelser,"55.689423,12.557978",1950.0,4.0,Fisk og skaldyr,"Elmegade 4, København Danmark",4.5,4.5,4.0
Pizza Time,4.5,422.0,"------16,,,",--$---------,67 anmeldelser,"55.681324,12.584601",152.0,4.0,Europæisk,"Gothersgade 7, København 1264 Danmark",4.5,4.5,
Balthazar Champagne Bar,4.5,428.0,------16,--$$$$,112 anmeldelser,"55.680656,12.583381",91.0,4.5,Vinstue,"Ny Østergade 6, København Danmark",4.0,4.5,4.5
lalala,4.0,444.0,------1674.-275.,--$$-$$$------,116 anmeldelser,"55.67657,12.59515",785.0,4.0,Europæisk,"Strandgade 98 1401 Kobenhavn K, København 1401 Danmark",4.0,4.0,
Hanzo,4.0,426.0,"------16,",--$$-$$$---------,118 anmeldelser,"55.67384,12.55015",2241.0,4.0,Asiatisk,"Værnedamsvej 14, København 2200 Danmark",4.0,4.5,4.0
Restaurant Frascati,3.5,450.0,"------16,,",--$$-$$$---------,699 anmeldelser,"55.673832,12.562451",1525.0,3.5,Europæisk,"Vesterbrogade 9, København 1620 Danmark",3.5,4.0,3.5
Pizza Huset,4.5,441.0,------16268.-483.,--$---------,43 anmeldelser,"55.6818,12.58336",209.0,4.5,Fastfood,"Gothersgade 21, København 1123 Danmark",4.5,4.5,
FAMO Metro,4.0,424.0,"------16,",--$$-$$$------,122 anmeldelser,"55.695793,12.579769",1780.0,4.0,Europæisk,"Oster Sogade 114, København 2100 Danmark",4.0,4.5,4.0
Boston Grill Mayfair,4.0,433.0,------16101.-597.,--$$-$$$------,88 anmeldelser,"55.67277,12.561554",1630.0,4.5,Amerikansk,"6-8 Colbjørnsensgade 1652 Kobenhavn V, København 1652 Danmark",3.5,4.0,
Isoteket,5.0,442.0,------1627.-40.,--$---------,25 anmeldelser,"55.70505,12.580834",2796.0,5.0,Europæisk,"Bopa Plads, København 2100 Danmark",5.0,5.0,
The Dubliner,3.5,449.0,"------16,,,,",--$$-$$$------,400 anmeldelser,"55.67876,12.579142",344.0,3.5,Bar,"Amagertorv 5, København 1160 Danmark",3.5,3.5,4.0
Alabama Social,4.0,446.0,"------16,",--$$-$$$---------,188 anmeldelser,"55.687775,12.5631",1581.0,4.0,Amerikansk,"Sortedam Dossering 3, København 2200 Danmark",3.5,4.0,
Astor Deep Pan Pizza,3.5,432.0,"------16,,",--$---------,423 anmeldelser,"55.67383,12.563245",1480.0,4.0,Fastfood,"Vesterbrogade 7, København 1620 Danmark",4.0,3.5,3.5
Noho,4.5,423.0,------1667.-376.,--$$-$$$---------,40 anmeldelser,"55.667652,12.558191",2130.0,4.5,Amerikansk,"Flaesketorvet 28, København 1711 Danmark",4.5,4.5,
Krystal Sandwich,5.0,438.0,------1634.-60.,--$------,28 anmeldelser,"55.681225,12.574304",635.0,,Dansk,"Krystalgade 5, København 1172 Danmark",,,
Restaurant Mes,4.0,448.0,"------16,,",--$$-$$$---,117 anmeldelser,"55.67882,12.56606",1144.0,4.0,Dansk,"Jarmers Plads 1, København 1551 Danmark",4.0,4.5,
Teaterkaelderen,4.0,429.0,------16168.-671.,--$$-$$$------,90 anmeldelser,"55.67315,12.555283",1965.0,4.5,Dansk,"1610 Koebenhavn V Gammel Kongevej 29, København 1610 Danmark",4.0,4.0,4.5
Samos,3.5,443.0,"------16,,",--$---------,312 anmeldelser,"55.679417,12.574208",629.0,4.0,Europæisk,"Skindergade 29, København 1159 Danmark",4.0,3.5,3.5
Carlton,3.5,455.0,"------16,,",--$$-$$$---,316 anmeldelser,"55.670574,12.560929",1795.0,4.0,Dansk,"Halmtorvet 14, København 1700 Danmark",3.5,4.0,3.5
Hooked,4.5,431.0,------1694.-161.,--$$-$$$------,34 anmeldelser,"55.669567,12.558242",1997.0,4.5,Fastfood,"Halmtorvet 34, København 1700 Danmark",4.5,5.0,
Restaurant MA,5.0,483.0,"------16,,,",--$$$$---,20 anmeldelser,"55.682,12.579844",353.0,,Dansk,"Gl. Mønt 41 1117, København 1117 Danmark",,,
Satang Thai Bistro,5.0,28.0,------16,--$$-$$$,23 anmeldelser,"55.685,12.548056",2333.0,4.5,Dansk,"Åboulevard 51, Frederiksberg, København 1960 Danmark",5.0,5.0,
Library Bar,4.0,469.0,------16,--$$-$$$,97 anmeldelser,"55.673748,12.564692",1405.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Bernstorffgade 4, København 1577 Danmark",3.5,3.5,4.5
Fars Dreng,4.0,478.0,------1627.-148.,--$$-$$$------,189 anmeldelser,"55.68137,12.583536",160.0,3.5,Café,"Rosengården 12, København 1174 Danmark",4.0,4.0,
Hope Organic,4.5,430.0,------1627.-127.,--$$-$$$------,30 anmeldelser,"55.678135,12.569726",930.0,4.5,Dansk,"Larsbjoernsstraede 7, København 1454 Danmark",4.5,5.0,
Munchies Copenhagen,4.0,467.0,------1620.-67.,--$---,67 anmeldelser,"55.6718,12.592714",1055.0,4.5,Amerikansk,"Torvegade 55, København 1400 Danmark",4.0,4.0,
Formatcph,4.5,462.0,"------16,,,,,",--$$$$---,35 anmeldelser,"55.68125,12.592087",515.0,4.5,Europæisk,"Sankt Annæ Plads 20, København Danmark",4.5,4.5,
Christianhavns Bådudlejning og Café,4.0,459.0,"------16,,,,",--$$-$$$------,91 anmeldelser,"55.67274,12.591215",917.0,4.0,Café,"Overgaden Neden Vandet 29, København Danmark",4.0,4.0,4.0
Tivoli Hallen,4.0,465.0,"------16,,",--$$-$$$---,68 anmeldelser,"55.674545,12.573094",921.0,4.5,Dansk,"Vester Voldgade 91, 1552 Kobenhavn, København Danmark",4.5,4.5,
Taverna Kreta,4.5,468.0,"------16,",--$---------,52 anmeldelser,"55.693546,12.547899",2730.0,4.5,Græsk,"Jagtvej 59, København 2200 Danmark",4.5,4.5,4.5
Fiskekutteren HM800 Jammerbugt - Thorupstrand Fisk,4.5,481.0,------16,--$---,27 anmeldelser,"55.678513,12.593211",589.0,4.5,Fisk og skaldyr,"Havnegade 52, København Danmark",4.5,4.5,
Mercante,4.0,477.0,"------16,,",--$$-$$$---------,82 anmeldelser,"55.679176,12.576468",492.0,4.5,Europæisk,"Valkendorfsgade 34, København 1151 Danmark",4.0,4.0,
Restaurant Frksbrg,4.0,27.0,------1613.-20.,--$$-$$$------,97 anmeldelser,"55.67837,12.532575",3241.0,4.5,Dansk,"Smallegade 1, Frederiksberg, København 2000 Danmark",4.0,4.5,4.5
The Globe Irish Pub,4.0,471.0,"------16,,,",--$$-$$$------,111 anmeldelser,"55.681892,12.570893",860.0,4.5,Bar,"Noerregade 42/45, København 1165 Danmark",4.0,4.0,4.5
Ingolfs Kaffebar,4.0,464.0,------16101.-268.,--$$-$$$------,79 anmeldelser,"55.650112,12.612074",3753.0,4.0,Café,"Ingolfs Alle 3, København 2300 Danmark",4.0,4.0,4.5
Thai Asien,4.0,472.0,"------16,",--$---------,81 anmeldelser,"55.6785,12.590357",420.0,4.0,Asiatisk,"Cort Adelers Gade 2, København 1053 Danmark",4.5,4.5,3.0
Ristorante Ponte Vecchio,4.0,452.0,"------16,,",--$$-$$$---------,138 anmeldelser,"55.665615,12.575311",1691.0,4.0,Europæisk,"Islands Brygge 33 2300 Kobenhavn S, København Danmark",4.0,4.0,4.0
Banh Mi,5.0,480.0,------1640.-74.,--$---------,34 anmeldelser,"55.69002,12.55938",1915.0,5.0,Asiatisk,"Elmegade 20, København 2200 Danmark",5.0,5.0,
The Royal Cafe,4.0,463.0,"------16,,,",--$$-$$$---,217 anmeldelser,"55.67919,12.579003",337.0,3.5,Café,"Amagertorv 6, København 1611 Danmark",3.5,4.0,4.5
Bøf & Ost,3.5,454.0,"------16,,,",--$$-$$$------,288 anmeldelser,"55.67975,12.575794",527.0,3.5,Europæisk,"Gråbrødretorv 13, København 1154 Danmark",3.5,4.0,4.0
Ølbaren,4.5,453.0,------1634.-101.,--$$-$$$,43 anmeldelser,"55.68925,12.557728",1953.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Elmegade 2, København 2200 Danmark",4.0,3.5,
Bar'Vin,4.5,461.0,"------16,,",--$$-$$$------,90 anmeldelser,"55.6809,12.576274",507.0,4.5,Delikatesseforretning,"Skindergade 3, København Danmark",4.0,4.5,4.5
The Bird & The Churchkey,4.0,474.0,"------16,",--$$-$$$,92 anmeldelser,"55.677597,12.578121",463.0,4.0,Bar,"Gammel Strand 44, København 1202 Danmark",4.0,4.5,
Pasta La Pasta,5.0,475.0,------1620.-114.,--$$-$$$---,23 anmeldelser,"55.680416,12.583033",87.0,4.5,Italiensk,"Ny Østergade 5, København 1101 Danmark",4.5,4.5,
Restaurant Nyhavn C,3.5,457.0,"------16,,,",--$$-$$$---,231 anmeldelser,"55.68011,12.590128",373.0,4.0,Bar,"Nyhavn 33, København 1051 Danmark",3.5,4.0,
Comedy ZOO Club & Cafe,4.0,470.0,"------16,,",--$$-$$$---,86 anmeldelser,"55.6771,12.575503",632.0,4.5,Dansk,"Kompagnistræde 19, København 1208 Danmark",4.0,4.5,
Vandkunsten sandwich og salat,4.5,473.0,------16,--$---------,43 anmeldelser,"55.67625,12.57485",717.0,4.0,Fastfood,"Raadhusstraede 17, København 1466 Danmark",4.5,4.5,
Manfreds,3.5,451.0,"------16,,",--$$-$$$---,735 anmeldelser,"55.693233,12.543248",2960.0,4.0,Dansk,"Jægersborggade 40, København 2200 Danmark",3.5,4.0,4.0
Rufino Osteria,4.5,466.0,------16101.-248.,--$$-$$$---------,88 anmeldelser,"55.673553,12.589066",777.0,4.5,Europæisk,"Strandgade 14, København 1401 Danmark",4.0,4.0,
London Pub,4.0,26.0,"------16,,,,",--$$-$$$---,100 anmeldelser,"55.68537,12.538145",2948.0,4.5,Bar,"Godthaabsvej 4, Frederiksberg, København 2000 Danmark",4.0,4.5,5.0
Restaurant Salon,4.5,502.0,------16637.-2.649.,--$$$$---,29 anmeldelser,"55.68629,12.591646",843.0,4.5,Fransk,"Bredgade 63, København 1260 Danmark",4.5,4.5,
The Vietnamese,4.5,479.0,------1667.-396.,--$$-$$$---------,66 anmeldelser,"55.686424,12.589339",786.0,4.5,Asiatisk,"Store Kongensgade 91, København 1264 Danmark",4.5,4.5,
Ambassaden & Konsulatet,5.0,501.0,"------16,,",--$$-$$$---,37 anmeldelser,"55.69385,12.583567",1543.0,5.0,Dansk,"Dag Hammerskjolds Allé 7, København 2100 Danmark",5.0,5.0,
Bibendum,4.0,485.0,------16127.-302.,--$$-$$$---,120 anmeldelser,"55.683727,12.565407",1249.0,3.5,Dansk,"Nansensgade 45, København 1366 Danmark",3.5,3.5,4.0
Aristo,4.0,496.0,------16,--$$-$$$---,189 anmeldelser,"55.6693,12.579115",1229.0,4.0,Europæisk,"Islandsbrygge 4, København 2300 Danmark",3.5,4.0,4.5
McJoy's Choice,3.5,488.0,------16,--$$-$$$---,303 anmeldelser,"55.6798,12.59129",446.0,3.5,Dansk,"Nyhavn 47, København 1051 Danmark",3.5,3.5,4.0
Rossopomodoro Illum,3.5,506.0,------16101.-201.,--$$-$$$---------,293 anmeldelser,"55.679314,12.579861",281.0,4.0,Italiensk,"Ostergade 52 Illum, København 1001 Danmark",3.0,3.5,
Blaabjerg & Madsen - Frederiksberg,4.5,30.0,------1660.-101.,--$------,39 anmeldelser,"55.687237,12.530319",3472.0,4.0,Fastfood,"Godthabsvej 54 2000 Frederiksberg, Frederiksberg, København 2000 Danmark",4.5,4.5,
Cafe Dyrehaven,4.0,498.0,"------16,,,",--$$-$$$------,133 anmeldelser,"55.6655,12.549554",2703.0,4.0,Café,"Soender Boulevard 72, København 1720 Danmark",4.0,4.0,4.5
Ma Poule,4.5,482.0,"------16,",--$------,59 anmeldelser,"55.684032,12.569371",1033.0,4.0,Europæisk,"Rømersgade 18 Torvehallerne, hal 1, stand E9, København 1362 Danmark",4.0,4.5,4.5
Victoria Pub,4.0,487.0,------16,--$$-$$$,60 anmeldelser,"55.67814,12.572069",787.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Gammeltorv 24, København 1457 Danmark",4.0,4.0,
Restaurant Meille,4.0,497.0,"------16,,",--$$$$---,92 anmeldelser,"55.679,12.568165",1010.0,4.0,Dansk,"Sankt Peders Stræde 24A, København 1453 Danmark",4.0,4.0,
Tjili Pop,4.5,490.0,"------16,,,",--$$-$$$---,51 anmeldelser,"55.686363,12.550196",2246.0,4.5,Bar,"Rantzausgade, København 2200 Danmark",4.0,3.5,4.5
pizzeria Venezia Nyhavn 31,3.5,505.0,"------16,,",--$$-$$$---------,335 anmeldelser,"55.68018,12.590051",368.0,3.5,Europæisk,"Nyhavn 31, København 1051 Danmark",3.5,3.5,3.5
1105 Cocktail Bar,4.5,492.0,------16,--$$-$$$,73 anmeldelser,"55.68041,12.582109",139.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Kristen Bernikows Gade 4, København 1105 Danmark",4.0,4.0,4.5
Bjælkehuset,4.0,31.0,"------16,,",--$$-$$$---,83 anmeldelser,"55.667103,12.525375",3956.0,4.5,Dansk,"Valby Langgade 2 Søndermarken, Frederiksberg, København 2500 Danmark",4.0,4.5,
GONZO Café og Spisested,4.5,504.0,------1674.-141.,--$$-$$$------,35 anmeldelser,"55.692917,12.543839",2910.0,4.5,Café,"Jægersborggade 32 København, København 2200 Danmark",4.5,4.5,
Ewalds,4.5,29.0,------16121.-295.,--$$-$$$------,35 anmeldelser,"55.67762,12.533413",3194.0,4.5,Café,"Allegade 24a, Frederiksberg, København 2000 Danmark",4.5,4.5,
GROS,5.0,507.0,------1613.-101.,--$---,23 anmeldelser,"55.670948,12.546703",2556.0,5.0,Dansk,"Vesterbrogade 97, København 1620 Danmark",5.0,5.0,
Green Island of Copenhagen,5.0,491.0,------16,---,24 anmeldelser,"55.667698,12.572271",1557.0,4.5,Italiensk,"Kalvebod Brygge 9, København 1560 Danmark",4.5,4.0,
Det simrer,4.5,503.0,------1674.-174.,--$$-$$$------,43 anmeldelser,"55.703342,12.58545",2599.0,4.5,Dansk,"Melchiors Plads 3, København 2100 Danmark",4.5,4.5,
Midtown Grill,3.5,489.0,"------16,,,",--$$-$$$,214 anmeldelser,"55.668472,12.573808",1435.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Kalvebod Brygge 5 Copenhagen Marriott Hotel, København 1560 Danmark",3.5,4.0,3.5
Højbro Sandwich and Cafe,4.0,495.0,"------16,,,",--$------,127 anmeldelser,"55.67827,12.58",324.0,4.0,Café,"Højbro Plads 15, København Danmark",3.5,4.0,
Bang & Jensen,4.0,493.0,------16369.-664.,--$$-$$$---,129 anmeldelser,"55.668102,12.549494",2545.0,4.0,Café,"Istedgade 130, København 1650 Danmark",4.5,4.5,4.5
Cafe Klods Hans,4.5,486.0,"------16,,,,",--$$-$$$------,57 anmeldelser,"55.680546,12.588736",292.0,4.5,Café,"Nyhavn 13, København 1051 Danmark",3.5,4.0,5.0
Mother Wine,4.5,484.0,------1667.-201.,--$$-$$$------,28 anmeldelser,"55.681725,12.580275",313.0,4.5,Europæisk,"Gammel Mønt 33, København 1117 Danmark",4.5,5.0,
Charlie Bistro,4.5,509.0,------1667.-228.,--$$-$$$---------,41 anmeldelser,"55.67711,12.57562",625.0,4.0,Delikatesseforretning,"Kompagnistræde 19, København 1208 Danmark",4.0,4.0,
Restaurant Ibu,4.5,494.0,------1667.-208.,--$$-$$$------,42 anmeldelser,"55.67266,12.553713",2077.0,4.5,Asiatisk,"Vesterbrogade, København 1620 Danmark",4.5,4.5,
Skipperkroen,3.5,514.0,"------16,,,",--$$-$$$------,717 anmeldelser,"55.680183,12.589831",354.0,3.5,Europæisk,"Nyhavn 27, København 1051 Danmark",3.5,3.5,4.0
Cafe Europa 1989,3.5,499.0,------1674.-114.,--$$-$$$------,572 anmeldelser,"55.67871,12.579523",325.0,3.5,Café,"1 Amagertorv, København Danmark",3.0,4.0,4.0
Vesterbro Brewery (Burgers and Brewhouse),3.5,515.0,"------16,,,",--$$-$$$,108 anmeldelser,"55.675625,12.567056",1178.0,4.0,Bar,"Vesterbrogade 2, København Danmark",3.5,3.5,
K96,5.0,523.0,"------16,,",--$---------,30 anmeldelser,"55.68016,12.577973",390.0,5.0,Café,"Valkendorfsgade 5, København 1151 Danmark",5.0,5.0,
WOK Christianshavn,4.5,536.0,------1660.-127.,--$$-$$$---------,102 anmeldelser,"55.671906,12.592381",1034.0,4.0,Asiatisk,"Torvegade 49 Christianshavn, København 1400 Danmark",4.0,4.5,
Hafnia Bar,4.5,527.0,------1627.-94.,--$$-$$$------,49 anmeldelser,"55.6819,12.582582",236.0,4.5,Café,"Store Regnegade 26A, København 1110 Danmark",4.0,4.5,
Urten,4.5,526.0,------16127.-201.,--$$-$$$---,66 anmeldelser,"55.67863,12.569248",949.0,4.0,Europæisk,"Larsbjørnsstræde 18, St. Th., København 1454 Danmark",4.0,4.0,
The Packhouse,4.5,540.0,------16201.-805.,--$$-$$$------,26 anmeldelser,"55.672512,12.590291",914.0,5.0,Café,"Overgaden Neden Vandet 19A, København 1414 Danmark",4.5,5.0,
Roxie,4.0,528.0,------16248.-697.,--$$$$---,48 anmeldelser,"55.678925,12.582686",150.0,4.0,Dansk,"Bremerholm 6, København 1069 Danmark",3.5,4.0,
Mega Bar,4.5,517.0,------1634.-402.,--$$-$$$---,46 anmeldelser,"55.677223,12.57083",892.0,,Asiatisk,"Frederiksberggade 22 1, København 1459 Danmark",,,
Kates Joint,4.0,539.0,------1674.-148.,--$---------,78 anmeldelser,"55.68699,12.558856",1769.0,4.0,Asiatisk,"Blagardsgade 12, København 2200 N Danmark",4.5,4.5,4.0
Nyhavn Pizzeria,4.0,532.0,"------16,,,",--$---------,95 anmeldelser,"55.6806,12.589514",341.0,4.5,Europæisk,"Lille Strandstræde 8, København 1254 Danmark",4.5,4.5,4.0
Blue Elephant Restaurant,3.5,529.0,"------16,",--$$-$$$---------,202 anmeldelser,"55.66734,12.586775",1414.0,3.5,Asiatisk,"Amager Boulevard 70 Amager Boulevard 70,, København 2300 Danmark",3.0,3.5,3.5
O Tempo,4.5,524.0,------16805.-1.676.,--$$-$$$------,47 anmeldelser,"55.69353,12.491707",5990.0,4.0,Brasiliansk,"Jyllingevej 10 Vanløse, København 2720 Danmark",4.5,4.5,
Mother,3.5,516.0,"------16,,",--$$-$$$---------,1.921 anmeldelser,"55.668404,12.557769",2098.0,3.5,Europæisk,"Hokerboderne 9-15, København 1712 København V Danmark",3.5,4.0,4.0
Domhusets Smørrebrød,4.5,510.0,"------16,,",--$---,27 anmeldelser,"55.67691,12.572205",825.0,5.0,Dansk,"Kattesundet 18, København 1458 Danmark",5.0,5.0,
Comfort Hotel Vesterbro,3.5,518.0,------16,--$$-$$$---,143 anmeldelser,"55.672867,12.558938",1770.0,3.5,Europæisk,"Vesterbrogade 23/29, København 1620 Danmark",3.5,3.5,
DAIZY'S,4.0,531.0,------1647.-248.,--$$-$$$---------,68 anmeldelser,"55.68135,12.591488",482.0,4.0,Café,"Sankt Annæ Plads 16, København 1250 Danmark",4.0,4.0,
Tango y Vinos,4.0,511.0,------1687.-449.,--$$-$$$------,126 anmeldelser,"55.679058,12.589667",358.0,4.0,Fusion,"Herluf Trolles Gade 9 next to Nyhavn, København 1052 Danmark",4.0,4.0,4.5
Restaurant 108,3.5,530.0,------16,--$$-$$$------,632 anmeldelser,"55.677654,12.597989",903.0,4.0,Dansk,"Strandgade 108, København 1401 Danmark",3.0,3.5,
L'Altro,3.5,541.0,------16402.-1.495.,--$$-$$$---------,248 anmeldelser,"55.671417,12.593397",1113.0,4.0,Europæisk,"Torvegade 62, København 1400 Danmark",3.5,4.0,4.0
Itzi Pitzi Pizza,4.0,534.0,------1634.-67.,--$---------,79 anmeldelser,"55.666546,12.553152",2453.0,4.0,Europæisk,"Sønder boulevard 51, København 1720 Danmark",4.5,4.5,4.0
Kung Fu 2 Izakaya,4.0,521.0,"------16,,,",--$$-$$$---------,103 anmeldelser,"55.688976,12.562633",1681.0,4.0,Asiatisk,"Ravnsborggade 16B, København 2200 Danmark",4.0,4.0,3.5
Madhus24,4.0,513.0,------1667.-228.,--$$-$$$---,54 anmeldelser,"55.73043,12.521971",6831.0,4.0,Dansk,"Søborg Hovedgade 24, København 2870 Danmark",4.0,4.0,
Il Buco,4.0,533.0,------1674.-422.,--$$-$$$---------,93 anmeldelser,"55.66635,12.580439",1533.0,4.0,Europæisk,"Njalsgade 19c, København 2300 Danmark",3.5,4.0,
Zirup,3.5,512.0,"------16,,",--$$-$$$---,287 anmeldelser,"55.677906,12.577209",495.0,3.5,Bar,"Laederstraede 32, København 1201 Danmark",3.5,4.0,4.0
Cafe Baryl,4.5,535.0,------1647.-127.,--$$-$$$------,30 anmeldelser,"55.706406,12.583497",2939.0,3.5,Europæisk,"Århusgade 78, København 2100 Danmark",4.0,4.5,
Akropolis,4.0,537.0,"------16,,",--$$-$$$---------,38 anmeldelser,"55.684307,12.551451",2108.0,4.5,Europæisk,"H.C. Ørstedvej 70, København 1879 Danmark",4.0,4.5,4.0
Honen & Aegget,4.5,519.0,"------16,,,",------,26 anmeldelser,"55.690468,12.575319",1292.0,,Café,"Oester Farimagsgade 16A, København 2100 Danmark",,,
Spisehuset,4.5,525.0,------16201.-349.,--$$-$$$---,38 anmeldelser,"55.669147,12.560713",1902.0,4.5,Dansk,"Slagtehusgade 5c, København 1715 Danmark",4.5,5.0,
Forno a Legna,4.0,538.0,------1634.-67.,--$------,191 anmeldelser,"55.68242,12.535516",3063.0,3.5,Italiensk,"Falkoner Alle 42, København 2000 Danmark",4.5,4.5,3.5
The Nomad & The Bean,5.0,520.0,------16,--$$-$$$---,20 anmeldelser,"55.6644,12.603381",2109.0,5.0,Café,"Holmbladsgade 14, København 2300 Danmark",5.0,5.0,
Restaurant Turesen,4.0,571.0,------16,--$$-$$$,49 anmeldelser,"55.681393,12.564039",1273.0,4.5,Dansk,"Turesensgade 6, København 1368 Danmark",4.0,4.0,4.5
Fabro,4.5,569.0,"------16,",--$,23 anmeldelser,"55.6867,12.58794",784.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a></div>","Borgergade 134, København 1300 Danmark",4.5,4.5,
Neighbourhood Frederiksborggade,4.0,561.0,------16141.-148.,--$$-$$$---------,66 anmeldelser,"55.68383,12.571233",918.0,4.0,Europæisk,"Frederiksborggade 20D, København 1360 Danmark",4.0,4.5,
Seoul,4.0,547.0,"------16,,",--$---------,51 anmeldelser,"55.692165,12.483192",6474.0,4.5,Asiatisk,"Skjulhøj Allé 8 A, København Danmark",4.5,4.5,
Bar Uno,4.5,568.0,"------16,,",--$$-$$$---------,28 anmeldelser,"55.706604,12.596761",3064.0,4.0,Europæisk,"Göteborg Pl. 5, København Danmark",4.5,4.5,
Ristorante Vesuvio of Copenhagen,3.5,556.0,"------16,,",--$$-$$$---------,510 anmeldelser,"55.676743,12.56681",1147.0,3.5,Europæisk,"Raadhuspladsen 4 4, Radhuspladsen, København 1550 Danmark",3.5,3.5,3.5
Restaurant Menu'en,4.5,558.0,"------16,",--$$-$$$---,30 anmeldelser,"55.66185,12.5979",2191.0,4.5,Dansk,"Brigadevej 49, København 2300 Danmark",4.5,4.5,
CaféLoppen,4.5,552.0,"------16,",--$$-$$$---------,39 anmeldelser,"55.673588,12.596818",1064.0,4.0,Asiatisk,"Sydområdet, Christiania, København 1407 Danmark",4.5,4.5,
Papa Ramen,4.0,567.0,"------16,,",--$$-$$$---------,91 anmeldelser,"55.676846,12.564869",1260.0,4.0,Asiatisk,"Skydebanegade 16, København 1709 Danmark",3.5,4.0,
the laundromat cafe,3.5,560.0,"------16,,",--$$-$$$------,146 anmeldelser,"55.70612,12.580587",2916.0,3.5,Café,"Aarhusgade 38, København 2100 Danmark",3.5,3.5,4.0
A Hereford Beefstouw Tivoli,3.5,563.0,"------16,,",--$$-$$$------,1.219 anmeldelser,"55.674892,12.565828",1283.0,3.5,Dansk,"Vesterbrogade 3 Kobenhavn, København 1620 Danmark",3.0,4.0,3.5
Restaurant MANGAL,4.0,551.0,------1680.-597.,--$$$$---------,69 anmeldelser,"55.667217,12.558681",2138.0,4.0,Mellemøstlig,"Flæsketorvet 50, København 1711 Danmark",4.0,4.0,
Wagamama,3.5,542.0,"------16,,",--$$-$$$---------,816 anmeldelser,"55.67241,12.568988",1271.0,3.5,Asiatisk,"Tietgensgade 20, København 1704 Danmark",3.5,3.5,3.0
Bevar's,4.0,564.0,------1627.-114.,--$$-$$$---,45 anmeldelser,"55.68847,12.561816",1691.0,4.0,Café,"Ravnsborggade 10B, København 2200 Danmark",4.0,4.0,5.0
Sea by Kiin Kiin,3.5,555.0,"------16,",--$$-$$$---------,185 anmeldelser,"55.679214,12.593335",580.0,3.5,Asiatisk,"Nyhavn 71, København 1051 Danmark",3.5,4.0,
Tandoori Masala,3.5,548.0,------1687.-168.,--$$-$$$---------,145 anmeldelser,"55.67088,12.56245",1697.0,3.5,Indisk,"Halmtorvet 5, København 1700 Danmark",3.5,3.5,3.5
