Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere
Souls,4.5,31.0,"------16,,",--$$-$$$---------,647 anmeldelser,"55.70349,12.585388",2616.0,4.5,Café,"Melchiors Plads 3, København 2100 Danmark",4.5,4.5,
Höst,4.5,38.0,------16302.-798.,--$$$$,2.027 anmeldelser,"55.683228,12.566168",1186.0,4.5,Dansk,"Nørre Farimagsgade 41, København 1364 Danmark",4.5,4.5,4.5
Bastard Café,4.5,6.0,"------16,",--$------,242 anmeldelser,"55.67645,12.574973",698.0,4.5,Café,"Rådhusstræde 13, København 1466 Danmark",4.5,4.0,
Souls Nørreport,4.5,56.0,"------16,,",--$$-$$$------,108 anmeldelser,"55.685238,12.568355",1152.0,5.0,Europæisk,"Nørre Farimagsgade 63, København Danmark",4.5,4.5,
Temporada Tapasbodega,4.5,43.0,------16302.-349.,--$$-$$$---------,282 anmeldelser,"55.684452,12.554217",1944.0,4.5,Europæisk,"Åboulevard 23 Frederiksberg, København 2000 Danmark",4.5,4.5,4.5
Restaurant Radio,4.5,46.0,"------16,,",--$$$$---,846 anmeldelser,"55.682026,12.554082",1901.0,4.5,Dansk,"Julius Thomsens Gade 12, København Danmark",4.5,4.5,4.5
Chao Viet Kitchen,4.5,44.0,------1613.-107.,--$---------,362 anmeldelser,"55.677105,12.571456",860.0,4.0,Asiatisk,"Kattesundet 8 Indre By, København 1458 Danmark",4.0,4.5,
Restaurant Tight,4.5,52.0,------1680.-255.,--$$-$$$---------,2.868 anmeldelser,"55.678165,12.576488",523.0,4.5,Europæisk,"Hyskenstræde 10, København 1207 Danmark",4.5,4.5,4.5
Noma,4.5,36.0,------16,--$$$$------,1.642 anmeldelser,"55.67787,12.596145",785.0,5.0,Moderne,"Refshalevej 96, København 1432 Danmark",4.0,4.5,4.5
Restaurant Cofoco,4.5,32.0,------16503.-1.073.,--$$-$$$,1.066 anmeldelser,"55.671722,12.55859",1849.0,4.5,Dansk,"Abel Cathrines Gade 7, København Danmark",4.5,4.5,4.5
Sporvejen,4.5,47.0,------1627.-101.,--$---,976 anmeldelser,"55.679707,12.575636",537.0,4.5,Dansk,"Graabroedretorv 17, København 1154 Danmark",4.5,4.5,4.5
Restaurant Schoennemann,4.5,50.0,"------16,,",--$$-$$$---,730 anmeldelser,"55.682747,12.575774",611.0,4.5,Dansk,"Hauser Plads 16, København 1127 Danmark",4.0,4.5,4.5
Kong Hans Kaelder,4.5,33.0,"------16,,,",--$$$$------,286 anmeldelser,"55.67888,12.584211",122.0,4.5,Europæisk,"Vingaardstraede 6, København 1070 Danmark",4.0,4.5,4.5
Hey Darling,5.0,54.0,------1647.-302.,--$$-$$$------,85 anmeldelser,"55.69105,12.576097",1332.0,4.5,Amerikansk,"Øster Farimagsgade 24, København 2100 Danmark",4.5,4.5,
Mad & Kaffe,4.5,55.0,"------16,,,",--$$-$$$------,528 anmeldelser,"55.665863,12.550308",2641.0,4.0,Café,"Sønder Boulevard 68 København V, København 1720 Danmark",4.0,4.5,
Restaurant Amalie,4.5,51.0,------1660.-141.,--$$-$$$---,415 anmeldelser,"55.68273,12.592147",585.0,4.5,Dansk,"Amaliegade 11, København 1256 Danmark",4.5,4.5,4.5
Khun Juk Oriental,4.5,60.0,------1694.-235.,--$$-$$$---------,810 anmeldelser,"55.68213,12.58526",249.0,4.5,Asiatisk,"Store Kongensgade 9 Backyard, København Danmark",4.5,4.5,4.5
KöD København,4.5,62.0,"------16,,,,",--$$-$$$---------,1.010 anmeldelser,"55.677498,12.582363",298.0,4.5,Amerikansk,"Admiralgade 25, København 1066 Danmark",4.5,4.5,5.0
KöD Vesterbro,4.5,48.0,------16168.-449.,--$$-$$$---------,768 anmeldelser,"55.6728,12.558157",1817.0,4.5,Europæisk,"Vesterbrogade 33, København 1620 Danmark",4.5,4.5,
Restaurant Under Uret - Frokost,4.5,41.0,"------16,,",--$$-$$$---,166 anmeldelser,"55.689465,12.575",1202.0,5.0,Dansk,"Øster Farimagsgade 4, København 2100 Danmark",4.5,4.5,4.5
BENTO Restaurant & Cocktail Bar,4.5,57.0,------16101.-349.,--$$-$$$---------,287 anmeldelser,"55.67139,12.561472",1715.0,5.0,Asiatisk,"Helgolandsgade 16, København 1653 Danmark",4.0,4.5,4.5
Frenchy,4.5,45.0,"------16,,,",--$$-$$$---------,190 anmeldelser,"55.677998,12.576669",520.0,5.0,Café,"Hyskenstraede 16 Store Kongensgade 69, København 1207 Danmark",4.5,4.5,5.0
Sankt Annae 8,4.5,42.0,"------16,,",--$$-$$$---,204 anmeldelser,"55.673985,12.591411",806.0,4.5,Dansk,"Wildersgade 52, København Danmark",4.5,4.5,4.5
Restaurant Nepali Bhancha,4.5,40.0,------16101.-248.,--$$-$$$------,223 anmeldelser,"55.70341,12.547717",3466.0,4.5,Nepalesisk,"H C Ørsteds Vej 50 D, København 1879 Danmark",4.5,5.0,
Madglad,4.5,34.0,------1627.-47.,--$---,169 anmeldelser,"55.670685,12.555624",2068.0,4.0,Dansk,"Eskildsgade 13, København 1657 Danmark",4.5,4.5,
Morgenstedet,4.5,49.0,------1634.-101.,--$---------,244 anmeldelser,"55.673927,12.603153",1366.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>","Fabriksomraadet 134, København 1440 Danmark",4.5,4.5,4.5
Kadeau,4.5,53.0,------16650.-952.,--$$$$---,296 anmeldelser,"55.672188,12.588876",915.0,4.5,Dansk,"Wildersgade 10B Christianhavn, København 1408 Danmark",4.0,4.5,4.5
Vaekst,4.5,39.0,"------16,,",--$$$$,550 anmeldelser,"55.6788,12.566957",1088.0,4.5,Dansk,"Sankt Peders Stræde 34, København 1453 Danmark",4.0,4.5,
Kiin Kiin,4.5,58.0,------16657.-1.153.,--$$$$---------,801 anmeldelser,"55.6919,12.557358",2142.0,4.5,Asiatisk,"Guldbergsgade 21, København 2200 Danmark",4.5,4.5,4.5
L'Enoteca di Mr. Brunello Restaurant & Wine Shop,4.5,37.0,"------16,,,",--$$$$---------,219 anmeldelser,"55.67104,12.574041",1180.0,5.0,Europæisk,"Rysensteensgade 16, København 1564 Danmark",4.5,4.5,
Aamanns Etablissement,4.5,67.0,------16101.-262.,--$$-$$$---,193 anmeldelser,"55.690094,12.57505",1262.0,4.5,Dansk,"Oester Farimagsgade 12, København 2100 Danmark",4.0,4.5,4.0
RetroGusto,4.5,71.0,"------16,",--$$-$$$---------,571 anmeldelser,"55.67287,12.558201",1811.0,4.5,Europæisk,"Vesterbrogade 31, 1620 Kbh-V Vesterbrogade 31,, København 1620 Danmark",4.5,4.5,4.5
Ristorante Buono,4.5,84.0,"------16,,",--$$-$$$---------,169 anmeldelser,"55.67157,12.559303",1819.0,4.5,Europæisk,"Abel Cathrines Gade 21, København 1654 Danmark",4.5,4.5,
simpleRAW,4.5,80.0,------1627.-148.,--$$-$$$---------,230 anmeldelser,"55.679848,12.575983",515.0,4.5,Europæisk,"Gråbrødretorv 9, København 1154 Danmark",4.0,4.5,
Toto Vin & Spisebar,4.5,75.0,"------16,",--$$-$$$------,87 anmeldelser,"55.65585,12.60989",3130.0,4.5,Europæisk,"Amagerbrogade 145, København 2300 Danmark",4.5,5.0,
Asador,4.5,77.0,------16101.-899.,--$$-$$$---------,439 anmeldelser,"55.672287,12.590602",945.0,4.5,Argentinsk,"Overg. Neden Vandet 17, København 1414 Danmark",4.0,4.5,4.5
Fleisch,4.5,88.0,"------16,",--$$-$$$---,431 anmeldelser,"55.66907,12.558636",2010.0,4.5,Dansk,"Slagterboderne 7 Kødbyen, København 1716 Danmark",4.0,4.5,
Restaurant Palægade,4.5,74.0,------16148.-402.,--$$-$$$---,327 anmeldelser,"55.68222,12.586586",291.0,4.5,Dansk,"Palaegade 8, København 1261 Danmark",4.0,4.5,
Sticks'n'Sushi,4.5,90.0,------161.676.-3.688.,--$$-$$$---------,264 anmeldelser,"55.683357,12.584706",377.0,4.5,Fisk og skaldyr,"Borgergade 13, København 1300 Danmark",4.0,4.5,
Halifax København K,4.5,81.0,"------16,,",--$$-$$$------,258 anmeldelser,"55.678185,12.569627",934.0,4.5,Amerikansk,"Larsbjoernsstraede 9, København 1454 Danmark",4.0,4.5,4.0
Jurfood,5.0,86.0,------1667.-101.,--$$-$$$------,115 anmeldelser,"55.661644,12.630313",3539.0,5.0,Café,"Øresundsvej 150D, København 2300 Danmark",4.5,4.5,
Chez Bruno,4.5,63.0,------1674.-235.,--$$-$$$---------,392 anmeldelser,"55.673634,12.555206",1949.0,4.5,Europæisk,"Gammel Kongevej 27, St, København 1610 Danmark",4.5,4.5,4.5
Black Swan,4.5,73.0,------16,--$$-$$$,117 anmeldelser,"55.68648,12.587611",754.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Borgergade 93, København 1300 Danmark",4.5,4.0,4.5
Ravnsborg Kitchen & Bar,4.5,69.0,------1660.-248.,--$$-$$$---------,338 anmeldelser,"55.687878,12.561117",1692.0,3.5,Café,"Ravnsborggade 1, København 2200 Danmark",4.0,4.0,
Cafe Gl. Torv - Huset med det grønne træ,4.5,76.0,------1640.-181.,--$$-$$$,195 anmeldelser,"55.678246,12.572392",764.0,4.5,Dansk,"Gammeltorv 20, København 1457 Danmark",4.5,4.5,4.5
Den Lille Fede Restaurant,4.5,70.0,------16536.-6.706.,--$$$$---,721 anmeldelser,"55.68215,12.585653",258.0,4.5,Centraleuropæisk,"Store Kongensgade 17, København 1264 Danmark",4.5,4.5,4.5
Restaurant Ravelinen,4.5,61.0,------1674.-221.,--$$-$$$---,354 anmeldelser,"55.6704,12.595598",1283.0,4.5,Dansk,"Torvegade 79, København 1400 Danmark",4.5,4.5,4.5
Fuego,4.5,87.0,------162.012.-4.023.,--$$$$---------,677 anmeldelser,"55.678135,12.588968",363.0,4.5,Argentinsk,"Holbergsgade 14, København 1057 Danmark",4.0,4.5,4.5
Aamanns 1921,4.5,68.0,------16148.-449.,--$$-$$$---,205 anmeldelser,"55.6803,12.575873",523.0,4.5,Dansk,"Niels Hemmingsens Gade 19-21, København 1153 Danmark",4.5,4.5,
Damindra,4.5,91.0,------16148.-764.,--$$$$---------,481 anmeldelser,"55.6788,12.590855",438.0,4.0,Asiatisk,"Holbergsgade 26 Copenhagen C, København 1054 Danmark",4.0,4.5,4.0
Sticks'n'Sushi,4.5,89.0,------16248.-550.,--$$-$$$---------,310 anmeldelser,"55.669716,12.554844",2165.0,4.5,Asiatisk,"Istedgade 62, København 1650 Danmark",4.0,4.5,4.0
Restaurant AOC,4.5,72.0,"------16,,",--$$$$---,326 anmeldelser,"55.68324,12.5892",480.0,4.5,Dansk,"Dronningens Tværgade 2, København 1302 Danmark",4.0,4.5,4.0
Palæ Bar,4.5,59.0,"------16,,",--$,136 anmeldelser,"55.6813,12.583736",150.0,4.5,Bar,"Ny Adelgade 5, København 1104 Danmark",4.5,4.0,
Bowl Market Copenhagen,4.5,9.0,------1647.-80.,--$$-$$$---,113 anmeldelser,"55.672024,12.555914",1981.0,4.5,Dansk,"Gasvaerksvej 3, København 1656 Danmark",4.5,5.0,
Restaurant Brace,4.5,78.0,------1687.-778.,--$$$$------,199 anmeldelser,"55.679573,12.568498",985.0,4.5,Dansk,"Teglgardstraede 8A, København 1452 Danmark",4.0,4.5,
Era Ora,4.5,66.0,------16416.-1.281.,--$$$$------,602 anmeldelser,"55.673244,12.591508",878.0,4.5,Europæisk,"Overgaden Neden Vandet 33B, København 1414 Danmark",4.0,4.5,4.5
