City Area,p pizza,p Sushi,p Fisk og skaldyr,p Thai,p Café,p Italiensk,p Indisk,p Mexikansk,p Steakhouse
andet,6.965174129353234,3.482587064676617,1.9900497512437811,2.736318407960199,9.701492537313433,10.44776119402985,2.736318407960199,0.0,0.24875621890547264
frb.,5.829596412556054,5.381165919282512,0.0,4.932735426008969,10.31390134529148,11.210762331838566,4.0358744394618835,0.0,1.345291479820628
kbh k,4.441260744985674,2.5787965616045847,5.157593123209169,2.005730659025788,10.744985673352435,11.60458452722063,1.4326647564469914,0.0,1.5759312320916905
kbh n,7.511737089201878,1.8779342723004695,2.3474178403755865,4.225352112676056,10.7981220657277,10.7981220657277,2.3474178403755865,0.0,0.0
kbh s,10.429447852760736,8.588957055214724,2.4539877300613497,3.067484662576687,8.588957055214724,13.496932515337424,4.294478527607362,0.0,1.8404907975460123
kbh sv,9.375,3.125,0.0,3.125,9.375,9.375,3.125,0.0,3.125
kbh v,5.3708439897698215,3.0690537084398977,1.5345268542199488,3.324808184143223,8.184143222506394,12.27621483375959,2.557544757033248,0.0,3.324808184143223
kbh ø,3.9735099337748347,4.635761589403973,2.6490066225165565,1.9867549668874174,9.933774834437086,11.258278145695364,1.9867549668874174,0.0,1.3245033112582782
valby,13.636363636363635,11.363636363636363,4.545454545454546,2.272727272727273,13.636363636363635,11.363636363636363,2.272727272727273,0.0,0.0
