,Unnamed: 0,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse,City Area
58,58,"55.678528,12.572313",2149.0,1,Scandi Cafe,1457,0,0,0,0,1,0,0,0,0,kbh k
59,59,"55.630028,12.577962",2147.0,2,Bøfhus,2300,0,0,0,0,0,0,0,0,1,kbh s
60,60,"55.67862,12.582498",2145.0,2,Ristorante Santoni,,0,0,0,0,0,1,0,0,0,andet
61,61,"55.62942,12.63948",2138.0,2,Foodmarket - Terminal 2,2770,0,0,0,0,0,0,0,0,0,andet
62,62,"55.705036,12.576987",2136.0,2,Kafe Kapers,2100,0,0,0,0,1,0,0,0,0,kbh ø
63,63,"55.67854,12.5755",2132.0,1,Cph Asian Food,1161,0,0,0,0,0,0,0,0,0,kbh k
64,64,"55.658333,12.608611",2126.0,2,Cafe Cornelius,,0,0,0,0,1,0,0,0,0,andet
65,65,"55.67694,12.570332",2125.0,1,Restaurant Beijing,1459,0,0,0,0,0,0,0,0,0,kbh k
66,66,"55.66273,12.56147",2124.0,2,Gorm's Fisketorvet,1560,0,0,0,0,0,0,0,0,0,kbh v
67,67,"55.67166,12.5466",2123.0,1,Khorn Vesterbro,1620,0,0,0,0,0,0,0,0,0,kbh v
68,68,"55.67584,12.564027",2122.0,2,Cafe Emma,1609,0,0,0,0,1,0,0,0,0,kbh v
69,69,"55.67353,12.56497",2121.0,1,Upper Crust,1570,0,0,0,0,0,0,0,0,0,kbh v
70,70,"55.67841,12.56275",2119.0,2,Richmond Hotel Restaurant,1606,0,0,0,0,0,0,0,0,0,kbh v
71,71,"55.680073,12.590013",2118.0,2,Restaurant Sunnyside,1053,0,0,0,0,0,1,0,0,0,kbh k
72,72,"55.67869,12.57579",2117.0,2,The Viking House,,0,0,0,0,0,0,0,0,0,andet
73,73,"55.67926,12.58069",2116.0,2,Copenhagen Diner 'n' Steak,1100,0,0,0,0,1,0,0,0,0,kbh k
74,74,"55.673805,12.565809",2113.0,2,Kung Fu Street Food Tivoli Food Hall,1577,0,0,0,0,0,0,0,0,0,kbh v
75,75,"55.66802,12.59724",2110.0,99,Go Away,,0,0,0,0,0,0,0,0,0,andet
76,76,"55.67496,12.56645",2106.0,99,Nachos Vesterbrogade,1620,0,0,0,0,0,0,0,0,0,kbh v
